uniqID,pair,j1,j2,class,quant_con,qual_con
AT1G01700-AT4G004605-6+IR,AT1G01700-AT4G00460,5-6,6-7,+IR,N,N
AT1G01700-AT4G004606-7+IR,AT1G01700-AT4G00460,6-7,7-8,+IR,N,N
AT1G01740-AT4G007105-6+IR,AT1G01740-AT4G00710,5-6,5-6,+IR,Y,Y
AT1G01740-AT4G007106-7+IR,AT1G01740-AT4G00710,6-7,6-7,+IR,N,Y
AT1G01740-AT4G007108-9-ALTA,AT1G01740-AT4G00710,8-9,9-10,-ALTA,N,Y
AT1G01740-AT4G007108-9+IR,AT1G01740-AT4G00710,8-9,9-10,+IR,Y,Y
AT1G01740-AT4G007109-10-ALTA,AT1G01740-AT4G00710,9-10,10-11,-ALTA,N,N
AT1G01740-AT4G007109-10+IR,AT1G01740-AT4G00710,9-10,10-11,+IR,N,Y
AT1G01820-AT2G457402-3+IR,AT1G01820-AT2G45740,2-3,1-2,+IR,N,Y
AT1G01820-AT2G457403-4+IR,AT1G01820-AT2G45740,3-4,2-3,+IR,N,Y
AT1G01820-AT2G457404-5+IR,AT1G01820-AT2G45740,4-5,3-4,+IR,N,Y
AT1G01820-AT2G457405-6+IR,AT1G01820-AT2G45740,5-6,4-5,+IR,N,Y
AT1G01820-AT2G457406-7+ALTA,AT1G01820-AT2G45740,6-7,5-6,+ALTA,N,N
AT1G01820-AT2G457406-7+IR,AT1G01820-AT2G45740,6-7,5-6,+IR,N,N
AT1G02050-AT4G000401-2+IR,AT1G02050-AT4G00040,1-2,1-2,+IR,N,N
AT1G02360-AT4G017001-2+ALTA;-ALTD,AT1G02360-AT4G01700,1-2,1-2,+ALTA;-ALTD,N,N
AT1G02360-AT4G017001-2+IR,AT1G02360-AT4G01700,1-2,1-2,+IR,N,Y
AT1G02390-AT4G019501-2+IR,AT1G02390-AT4G01950,1-2,1-2,+IR,N,Y
AT1G02650-AT4G021002-3+IR,AT1G02650-AT4G02100,2-3,2-3,+IR,N,Y
AT1G02840-AT4G024302-3+IR,AT1G02840-AT4G02430,2-3,2-3,+IR,N,N
AT1G02840-AT4G024303-4+IR,AT1G02840-AT4G02430,3-4,3-4,+IR,N,N
AT1G02840-AT4G024306-7+IR,AT1G02840-AT4G02430,6-7,6-7,+IR,N,N
AT1G02840-AT4G024307-8+IR,AT1G02840-AT4G02430,7-8,7-8,+IR,N,N
AT1G02890-AT4G024801-2+IR,AT1G02890-AT4G02480,1-2,1-2,+IR,N,N
AT1G02890-AT4G0248011-12-ALTA,AT1G02890-AT4G02480,11-12,11-12,-ALTA,N,N
AT1G02890-AT4G0248011-12+IR,AT1G02890-AT4G02480,11-12,11-12,+IR,N,N
AT1G02890-AT4G0248012-13-ALTA,AT1G02890-AT4G02480,12-13,12-13,-ALTA,N,N
AT1G02890-AT4G0248013-14+IR,AT1G02890-AT4G02480,13-14,13-14,+IR,N,N
AT1G02890-AT4G0248019-20+IR,AT1G02890-AT4G02480,19-20,19-20,+IR,N,N
AT1G02890-AT4G0248022-23+IR,AT1G02890-AT4G02480,22-23,22-23,+IR,N,N
AT1G02890-AT4G0248024-25+IR,AT1G02890-AT4G02480,24-25,24-25,+IR,N,N
AT1G02890-AT4G0248025-26+IR,AT1G02890-AT4G02480,25-26,25-26,+IR,N,N
AT1G02890-AT4G0248026-27+IR,AT1G02890-AT4G02480,26-27,26-27,+IR,N,Y
AT1G02890-AT4G024805-6+IR,AT1G02890-AT4G02480,5-6,5-6,+IR,N,N
AT1G02890-AT4G024808-9+IR,AT1G02890-AT4G02480,8-9,8-9,+IR,N,N
AT1G03040-AT4G025901-2-ALTA,AT1G03040-AT4G02590,1-2,1-2,-ALTA,N,N
AT1G03040-AT4G025901-2+IR,AT1G03040-AT4G02590,1-2,1-2,+IR,N,Y
AT1G03040-AT4G025903-4+IR,AT1G03040-AT4G02590,3-4,3-4,+IR,N,N
AT1G03040-AT4G025904-5+IR,AT1G03040-AT4G02590,4-5,4-5,+IR,N,Y
AT1G03040-AT4G025905-6+IR,AT1G03040-AT4G02590,5-6,5-6,+IR,N,Y
AT1G03080-AT4G027104-5+IR,AT1G03080-AT4G02710,4-5,3-4,+IR,N,N
AT1G03290-AT4G028803-4-ALTA,AT1G03290-AT4G02880,3-4,3-4,-ALTA,N,Y
AT1G03290-AT4G028806-7-ALTA,AT1G03290-AT4G02880,6-7,6-7,-ALTA,N,N
AT1G03290-AT4G028806-7+IR,AT1G03290-AT4G02880,6-7,6-7,+IR,N,N
AT1G03290-AT4G028807-8+IR,AT1G03290-AT4G02880,7-8,7-8,+IR,N,N
AT1G03290-AT4G028808-9+IR,AT1G03290-AT4G02880,8-9,8-9,+IR,N,N
AT1G03457-AT4G031101-2+IR,AT1G03457-AT4G03110,1-2,1-2,+IR,N,Y
AT1G03457-AT4G031102-3+IR,AT1G03457-AT4G03110,2-3,2-3,+IR,N,N
AT1G03457-AT4G031103-4-ALTA,AT1G03457-AT4G03110,3-4,3-4,-ALTA,N,N
AT1G03457-AT4G031103-4+IR,AT1G03457-AT4G03110,3-4,3-4,+IR,N,N
AT1G03457-AT4G031105-6+IR,AT1G03457-AT4G03110,5-6,5-6,+IR,N,N
AT1G03457-AT4G031106-7-ALTA,AT1G03457-AT4G03110,6-7,6-7,-ALTA,N,N
AT1G03457-AT4G031106-7+IR,AT1G03457-AT4G03110,6-7,6-7,+IR,N,N
AT1G03457-AT4G031107-8+IR,AT1G03457-AT4G03110,7-8,7-8,+IR,N,N
AT1G03457-AT4G031108-9+IR,AT1G03457-AT4G03110,8-9,8-9,+IR,N,N
AT1G03520-AT4G033402-3+IR,AT1G03520-AT4G03340,2-3,2-3,+IR,N,N
AT1G03520-AT4G033403-4+IR,AT1G03520-AT4G03340,3-4,3-4,+IR,N,N
AT1G03610-AT4G034201-2+IR,AT1G03610-AT4G03420,1-2,1-2,+IR,Y,Y
AT1G03610-AT4G034202-3+IR,AT1G03610-AT4G03420,2-3,2-3,+IR,N,Y
AT1G03610-AT4G034203-4+IR,AT1G03610-AT4G03420,3-4,3-4,+IR,Y,Y
AT1G03610-AT4G034204-5-ALTD,AT1G03610-AT4G03420,4-5,4-5,-ALTD,N,N
AT1G03610-AT4G034204-5+IR,AT1G03610-AT4G03420,4-5,4-5,+IR,N,Y
AT1G03840-AT5G441601-2+IR,AT1G03840-AT5G44160,1-2,1-2,+IR,N,N
AT1G03930-AT5G441001-2+IR,AT1G03930-AT5G44100,1-2,1-2,+IR,N,N
AT1G03930-AT5G4410010-11+IR,AT1G03930-AT5G44100,10-11,10-11,+IR,Y,Y
AT1G03930-AT5G441002-3+IR,AT1G03930-AT5G44100,2-3,2-3,+IR,N,N
AT1G03930-AT5G441003-4+IR,AT1G03930-AT5G44100,3-4,3-4,+IR,N,N
AT1G03930-AT5G441004-5+IR,AT1G03930-AT5G44100,4-5,4-5,+IR,N,N
AT1G03930-AT5G441005-6+IR,AT1G03930-AT5G44100,5-6,5-6,+IR,N,N
AT1G03930-AT5G441006-7+IR,AT1G03930-AT5G44100,6-7,6-7,+IR,N,N
AT1G03930-AT5G441008-9-ALTA,AT1G03930-AT5G44100,8-9,8-9,-ALTA,N,N
AT1G03930-AT5G441008-9+IR,AT1G03930-AT5G44100,8-9,8-9,+IR,N,N
AT1G03930-AT5G441009-10+ALTA,AT1G03930-AT5G44100,9-10,9-10,+ALTA,N,N
AT1G03930-AT5G441009-10+IR,AT1G03930-AT5G44100,9-10,9-10,+IR,N,Y
AT1G03960-AT5G440901-2+ALTD,AT1G03960-AT5G44090,1-2,1-2,+ALTD,N,N
AT1G03960-AT5G440901-2+IR,AT1G03960-AT5G44090,1-2,1-2,+IR,N,Y
AT1G03960-AT5G4409010-11+IR,AT1G03960-AT5G44090,10-11,10-11,+IR,N,N
AT1G03960-AT5G4409011-12+IR,AT1G03960-AT5G44090,11-12,11-12,+IR,N,N
AT1G03960-AT5G440902-3+ALTA,AT1G03960-AT5G44090,2-3,2-3,+ALTA,N,N
AT1G03960-AT5G440902-3+ALTD,AT1G03960-AT5G44090,2-3,2-3,+ALTD,N,N
AT1G03960-AT5G440902-3+IR,AT1G03960-AT5G44090,2-3,2-3,+IR,N,N
AT1G03960-AT5G440903-4+IR,AT1G03960-AT5G44090,3-4,3-4,+IR,N,Y
AT1G03960-AT5G440906-7+IR,AT1G03960-AT5G44090,6-7,6-7,+IR,N,N
AT1G03960-AT5G440907-8+IR,AT1G03960-AT5G44090,7-8,7-8,+IR,N,Y
AT1G03960-AT5G440908-9-ALTD,AT1G03960-AT5G44090,8-9,8-9,-ALTD,N,N
AT1G03960-AT5G440908-9+IR,AT1G03960-AT5G44090,8-9,8-9,+IR,N,N
AT1G03960-AT5G440909-10+IR,AT1G03960-AT5G44090,9-10,9-10,+IR,Y,Y
AT1G04160-AT5G4390011-12+ALTD,AT1G04160-AT5G43900,11-12,13-14,+ALTD,N,Y
AT1G04160-AT5G4390015-16+ALTD,AT1G04160-AT5G43900,15-16,17-18,+ALTD,N,N
AT1G04160-AT5G4390018-19-ALTA,AT1G04160-AT5G43900,18-19,20-21,-ALTA,N,N
AT1G04160-AT5G4390018-19+IR,AT1G04160-AT5G43900,18-19,20-21,+IR,N,N
AT1G04160-AT5G4390023-24+IR,AT1G04160-AT5G43900,23-24,25-26,+IR,N,N
AT1G04160-AT5G4390034-35+IR,AT1G04160-AT5G43900,34-35,36-37,+IR,N,N
AT1G04160-AT5G4390035-36+IR,AT1G04160-AT5G43900,35-36,37-38,+IR,N,N
AT1G04160-AT5G4390037-38+IR,AT1G04160-AT5G43900,37-38,40-41,+IR,N,N
AT1G04220-AT5G437601-2+IR,AT1G04220-AT5G43760,1-2,1-2,+IR,N,Y
AT1G04230-AT5G437201-2+IR,AT1G04230-AT5G43720,1-2,1-2,+IR,N,N
AT1G04230-AT5G437202-3-ALTD,AT1G04230-AT5G43720,2-3,2-3,-ALTD,N,N
AT1G04230-AT5G437203-4+IR,AT1G04230-AT5G43720,3-4,3-4,+IR,N,N
AT1G04230-AT5G437205-6+IR,AT1G04230-AT5G43720,5-6,5-6,+IR,N,N
AT1G04230-AT5G437206-7+IR,AT1G04230-AT5G43720,6-7,6-7,+IR,N,N
AT1G04340-AT5G434601-2+IR,AT1G04340-AT5G43460,1-2,1-2,+IR,Y,Y
AT1G04340-AT5G434602-3+IR,AT1G04340-AT5G43460,2-3,2-3,+IR,N,N
AT1G04340-AT5G434604-5+IR,AT1G04340-AT5G43460,4-5,4-5,+IR,N,N
AT1G04440-AT5G4332010-11+IR,AT1G04440-AT5G43320,10-11,10-11,+IR,N,N
AT1G04440-AT5G4332013-14+IR,AT1G04440-AT5G43320,13-14,13-14,+IR,N,Y
AT1G04440-AT5G433203-4+IR,AT1G04440-AT5G43320,3-4,3-4,+IR,N,Y
AT1G04440-AT5G433205-6+ALTD,AT1G04440-AT5G43320,5-6,5-6,+ALTD,N,N
AT1G04440-AT5G433205-6+IR,AT1G04440-AT5G43320,5-6,5-6,+IR,N,Y
AT1G04440-AT5G433207-8+IR,AT1G04440-AT5G43320,7-8,7-8,+IR,N,N
AT1G04440-AT5G433208-9+IR,AT1G04440-AT5G43320,8-9,8-9,+IR,N,Y
AT1G04440-AT5G433209-10+IR,AT1G04440-AT5G43320,9-10,9-10,+IR,N,N
AT1G04480-AT2G333702-3+IR,AT1G04480-AT2G33370,2-3,2-3,+IR,N,Y
AT1G04500-AT2G333502-3+IR,AT1G04500-AT2G33350,2-3,2-3,+IR,N,N
AT1G04500-AT2G333503-4+IR,AT1G04500-AT2G33350,3-4,3-4,+IR,N,N
AT1G04510-AT2G3334012-13+IR,AT1G04510-AT2G33340,12-13,12-13,+IR,N,N
AT1G04510-AT2G3334015-16+IR,AT1G04510-AT2G33340,15-16,15-16,+IR,Y,Y
AT1G04510-AT2G333405-6+IR,AT1G04510-AT2G33340,5-6,5-6,+IR,N,N
AT1G04510-AT2G333408-9+IR,AT1G04510-AT2G33340,8-9,8-9,+IR,N,N
AT1G04510-AT2G333409-10+IR,AT1G04510-AT2G33340,9-10,9-10,+IR,N,N
AT1G04520-AT2G333302-3+IR,AT1G04520-AT2G33330,2-3,2-3,+IR,Y,Y
AT1G04550-AT2G333101-2-ALTA,AT1G04550-AT2G33310,1-2,1-2,-ALTA,N,N
AT1G04550-AT2G333101-2+ALTA,AT1G04550-AT2G33310,1-2,1-2,+ALTA,N,N
AT1G04550-AT2G333101-2+IR,AT1G04550-AT2G33310,1-2,1-2,+IR,N,Y
AT1G04710-AT2G3315010-11+IR,AT1G04710-AT2G33150,10-11,10-11,+IR,N,N
AT1G04710-AT2G3315011-12+IR,AT1G04710-AT2G33150,11-12,11-12,+IR,N,Y
AT1G04710-AT2G3315012-13+IR,AT1G04710-AT2G33150,12-13,12-13,+IR,N,N
AT1G04710-AT2G3315013-14+IR,AT1G04710-AT2G33150,13-14,13-14,+IR,N,N
AT1G04710-AT2G331503-4+IR,AT1G04710-AT2G33150,3-4,3-4,+IR,N,N
AT1G04710-AT2G331504-5+IR,AT1G04710-AT2G33150,4-5,4-5,+IR,N,N
AT1G04710-AT2G331507-8+IR,AT1G04710-AT2G33150,7-8,7-8,+IR,N,N
AT1G04710-AT2G331508-9+IR,AT1G04710-AT2G33150,8-9,8-9,+IR,N,N
AT1G04710-AT2G331509-10+IR,AT1G04710-AT2G33150,9-10,9-10,+IR,N,Y
AT1G04810-AT2G327301-2+IR,AT1G04810-AT2G32730,1-2,1-2,+IR,N,N
AT1G04810-AT2G3273012-13+IR,AT1G04810-AT2G32730,12-13,12-13,+IR,Y,Y
AT1G04810-AT2G327306-7+IR,AT1G04810-AT2G32730,6-7,6-7,+IR,N,Y
AT1G04810-AT2G327308-9+IR,AT1G04810-AT2G32730,8-9,8-9,+IR,N,N
AT1G04830-AT4G137305-6+IR,AT1G04830-AT4G13730,5-6,5-6,+IR,N,N
AT1G04830-AT4G137306-7+ALTA,AT1G04830-AT4G13730,6-7,6-7,+ALTA,N,N
AT1G04830-AT4G137306-7+ALTD;-ALTA,AT1G04830-AT4G13730,6-7,6-7,+ALTD;-ALTA,N,N
AT1G04830-AT4G137306-7+IR,AT1G04830-AT4G13730,6-7,6-7,+IR,N,Y
AT1G04830-AT4G137308-9+IR,AT1G04830-AT4G13730,8-9,8-9,+IR,N,N
AT1G04980-AT2G329201-2+IR,AT1G04980-AT2G32920,1-2,1-2,+IR,N,N
AT1G04980-AT2G329202-3+IR,AT1G04980-AT2G32920,2-3,2-3,+IR,N,N
AT1G04980-AT2G329203-4+IR,AT1G04980-AT2G32920,3-4,3-4,+IR,N,N
AT1G04980-AT2G329204-5+IR,AT1G04980-AT2G32920,4-5,4-5,+IR,N,N
AT1G04980-AT2G329206-7+IR,AT1G04980-AT2G32920,6-7,6-7,+IR,N,N
AT1G04990-AT2G329304-5+IR,AT1G04990-AT2G32930,4-5,4-5,+IR,N,N
AT1G04990-AT2G329305-6+IR,AT1G04990-AT2G32930,5-6,5-6,+IR,N,N
AT1G04990-AT2G329306-7+IR,AT1G04990-AT2G32930,6-7,6-7,+IR,N,N
AT1G05000-AT2G329601-2+IR,AT1G05000-AT2G32960,1-2,1-2,+IR,N,N
AT1G05160-AT2G324407-8+IR,AT1G05160-AT2G32440,7-8,6-7,+IR,N,N
AT1G05170-AT2G3243010-11+IR,AT1G05170-AT2G32430,10-11,10-11,+IR,N,N
AT1G05170-AT2G324303-4+IR,AT1G05170-AT2G32430,3-4,3-4,+IR,Y,Y
AT1G05170-AT2G324308-9+IR,AT1G05170-AT2G32430,8-9,8-9,+IR,N,N
AT1G05170-AT2G324309-10+IR,AT1G05170-AT2G32430,9-10,9-10,+IR,N,N
AT1G05200-AT2G323902-3-ALTA,AT1G05200-AT2G32390,2-3,1-2,-ALTA,N,Y
AT1G05200-AT2G323903-4+IR,AT1G05200-AT2G32390,3-4,2-3,+IR,N,N
AT1G05200-AT2G323906-7+ALTD,AT1G05200-AT2G32390,6-7,7-8,+ALTD,N,N
AT1G05200-AT2G323906-7+IR,AT1G05200-AT2G32390,6-7,7-8,+IR,N,Y
AT1G05570-AT2G3196017-18+IR,AT1G05570-AT2G31960,17-18,17-18,+IR,N,N
AT1G05570-AT2G3196023-24+IR,AT1G05570-AT2G31960,23-24,23-24,+IR,Y,Y
AT1G05570-AT2G3196025-26+IR,AT1G05570-AT2G31960,25-26,25-26,+IR,N,N
AT1G05570-AT2G3196028-29+IR,AT1G05570-AT2G31960,28-29,28-29,+IR,N,N
AT1G05570-AT2G319603-4-ALTD,AT1G05570-AT2G31960,3-4,3-4,-ALTD,N,N
AT1G05570-AT2G3196031-32+IR,AT1G05570-AT2G31960,31-32,31-32,+IR,N,N
AT1G05570-AT2G3196036-37+IR,AT1G05570-AT2G31960,36-37,36-37,+IR,N,N
AT1G05570-AT2G3196038-39+IR,AT1G05570-AT2G31960,38-39,38-39,+IR,N,N
AT1G05630-AT2G318303-4+IR,AT1G05630-AT2G31830,3-4,3-4,+IR,N,N
AT1G05630-AT2G318305-6+IR,AT1G05630-AT2G31830,5-6,5-6,+IR,N,N
AT1G05630-AT2G318307-8+IR,AT1G05630-AT2G31830,7-8,8-9,+IR,N,N
AT1G05630-AT2G318308-9+IR,AT1G05630-AT2G31830,8-9,9-10,+IR,N,N
AT1G05630-AT2G318309-10+IR,AT1G05630-AT2G31830,9-10,10-11,+IR,N,Y
AT1G05640-AT2G318201-2+IR,AT1G05640-AT2G31820,1-2,1-2,+IR,N,N
AT1G05640-AT2G318202-3-ALTA,AT1G05640-AT2G31820,2-3,2-3,-ALTA,N,N
AT1G05640-AT2G318202-3+IR,AT1G05640-AT2G31820,2-3,2-3,+IR,N,N
AT1G05810-AT2G316801-2+IR,AT1G05810-AT2G31680,1-2,1-2,+IR,N,N
AT1G05890-AT2G3151010-11+ALTD,AT1G05890-AT2G31510,10-11,9-10,+ALTD,N,N
AT1G05890-AT2G3151010-11+IR,AT1G05890-AT2G31510,10-11,9-10,+IR,N,Y
AT1G05890-AT2G3151014-15+IR,AT1G05890-AT2G31510,14-15,13-14,+IR,N,N
AT1G05890-AT2G3151015-16+IR,AT1G05890-AT2G31510,15-16,14-15,+IR,N,Y
AT1G05890-AT2G315109-10-ALTD,AT1G05890-AT2G31510,9-10,8-9,-ALTD,N,N
AT1G05890-AT2G315109-10+IR,AT1G05890-AT2G31510,9-10,8-9,+IR,N,N
AT1G06070-AT2G313702-3+IR,AT1G06070-AT2G31370,2-3,2-3,+IR,N,Y
AT1G06070-AT2G313703-4+IR,AT1G06070-AT2G31370,3-4,3-4,+IR,N,N
AT1G06070-AT2G313704-5+IR,AT1G06070-AT2G31370,4-5,4-5,+IR,N,N
AT1G06080-AT2G313601-2+IR,AT1G06080-AT2G31360,1-2,1-2,+IR,N,Y
AT1G06080-AT2G313602-3+IR,AT1G06080-AT2G31360,2-3,2-3,+IR,N,N
AT1G06080-AT2G313603-4+IR,AT1G06080-AT2G31360,3-4,3-4,+IR,Y,Y
AT1G06080-AT2G313604-5+IR,AT1G06080-AT2G31360,4-5,4-5,+IR,N,Y
AT1G06130-AT2G313501-2-ALTA,AT1G06130-AT2G31350,1-2,1-2,-ALTA,N,Y
AT1G06130-AT2G313501-2+IR,AT1G06130-AT2G31350,1-2,1-2,+IR,N,N
AT1G06130-AT2G313502-3+IR,AT1G06130-AT2G31350,2-3,2-3,+IR,N,N
AT1G06130-AT2G313503-4-ALTD,AT1G06130-AT2G31350,3-4,3-4,-ALTD,N,Y
AT1G06130-AT2G313503-4+IR,AT1G06130-AT2G31350,3-4,3-4,+IR,N,N
AT1G06130-AT2G313504-5+IR,AT1G06130-AT2G31350,4-5,4-5,+IR,N,Y
AT1G06130-AT2G313506-7+IR,AT1G06130-AT2G31350,6-7,6-7,+IR,N,Y
AT1G06250-AT2G311002-3+IR,AT1G06250-AT2G31100,2-3,2-3,+IR,N,N
AT1G06390-AT2G309801-2+ALTD,AT1G06390-AT2G30980,1-2,1-2,+ALTD,N,N
AT1G06390-AT2G309801-2+IR,AT1G06390-AT2G30980,1-2,1-2,+IR,N,Y
AT1G06390-AT2G3098010-11+IR,AT1G06390-AT2G30980,10-11,10-11,+IR,N,Y
AT1G06390-AT2G3098011-12-ALTA,AT1G06390-AT2G30980,11-12,11-12,-ALTA,N,N
AT1G06390-AT2G309802-3+IR,AT1G06390-AT2G30980,2-3,2-3,+IR,N,N
AT1G06390-AT2G309806-7+IR,AT1G06390-AT2G30980,6-7,6-7,+IR,Y,Y
AT1G06390-AT2G309808-9+IR,AT1G06390-AT2G30980,8-9,8-9,+IR,Y,Y
AT1G06390-AT2G309809-10+IR,AT1G06390-AT2G30980,9-10,9-10,+IR,N,N
AT1G06670-AT2G3080012-13+IR,AT1G06670-AT2G30800,12-13,12-13,+IR,N,Y
AT1G06670-AT2G3080013-14+IR,AT1G06670-AT2G30800,13-14,13-14,+IR,N,N
AT1G06670-AT2G308004-5+IR,AT1G06670-AT2G30800,4-5,4-5,+IR,N,Y
AT1G06770-AT2G305801-2+IR,AT1G06770-AT2G30580,1-2,1-2,+IR,N,Y
AT1G06770-AT2G305803-4+ALTD,AT1G06770-AT2G30580,3-4,3-4,+ALTD,N,N
AT1G06770-AT2G305806-7+IR,AT1G06770-AT2G30580,6-7,6-7,+IR,N,Y
AT1G06800-AT2G305501-2+IR,AT1G06800-AT2G30550,1-2,1-2,+IR,N,Y
AT1G06890-AT2G304603-4+IR,AT1G06890-AT2G30460,3-4,3-4,+IR,N,Y
AT1G06890-AT2G304605-6+IR,AT1G06890-AT2G30460,5-6,5-6,+IR,N,N
AT1G06890-AT2G304606-7+IR,AT1G06890-AT2G30460,6-7,6-7,+IR,N,Y
AT1G06890-AT2G304607-8+IR,AT1G06890-AT2G30460,7-8,7-8,+IR,N,N
AT1G06890-AT2G304608-9+IR,AT1G06890-AT2G30460,8-9,8-9,+IR,N,N
AT1G07140-AT2G300601-2+IR,AT1G07140-AT2G30060,1-2,1-2,+IR,N,N
AT1G07140-AT2G300603-4+ALTD,AT1G07140-AT2G30060,3-4,3-4,+ALTD,N,N
AT1G07140-AT2G300603-4+IR,AT1G07140-AT2G30060,3-4,3-4,+IR,N,Y
AT1G07360-AT2G295801-2+IR,AT1G07360-AT2G29580,1-2,1-2,+IR,Y,Y
AT1G07360-AT2G295803-4+IR,AT1G07360-AT2G29580,3-4,3-4,+IR,N,N
AT1G07370-AT2G295701-2-ALTD,AT1G07370-AT2G29570,1-2,1-2,-ALTD,N,N
AT1G07370-AT2G295701-2+IR,AT1G07370-AT2G29570,1-2,1-2,+IR,Y,Y
AT1G07370-AT2G295702-3+IR,AT1G07370-AT2G29570,2-3,2-3,+IR,Y,Y
AT1G07370-AT2G295703-4+IR,AT1G07370-AT2G29570,3-4,3-4,+IR,Y,Y
AT1G07380-AT5G589807-8+IR,AT1G07380-AT5G58980,7-8,8-9,+IR,N,N
AT1G07420-AT2G293902-3+IR,AT1G07420-AT2G29390,2-3,2-3,+IR,N,Y
AT1G07420-AT2G293903-4+ALTA,AT1G07420-AT2G29390,3-4,3-4,+ALTA,N,N
AT1G07420-AT2G293903-4+ALTD,AT1G07420-AT2G29390,3-4,3-4,+ALTD,N,N
AT1G07420-AT2G293903-4+IR,AT1G07420-AT2G29390,3-4,3-4,+IR,Y,Y
AT1G07420-AT2G293905-6-ALTA,AT1G07420-AT2G29390,5-6,5-6,-ALTA,N,N
AT1G07420-AT2G293905-6+IR,AT1G07420-AT2G29390,5-6,5-6,+IR,Y,Y
AT1G07510-AT2G290804-5+ALTA;-ALTD,AT1G07510-AT2G29080,4-5,4-5,+ALTA;-ALTD,N,N
AT1G07510-AT2G290805-6+IR,AT1G07510-AT2G29080,5-6,5-6,+IR,N,N
AT1G07510-AT2G290806-7+IR,AT1G07510-AT2G29080,6-7,6-7,+IR,Y,Y
AT1G07510-AT2G290807-8-ALTA,AT1G07510-AT2G29080,7-8,7-8,-ALTA,N,N
AT1G07510-AT2G290807-8+IR,AT1G07510-AT2G29080,7-8,7-8,+IR,N,Y
AT1G07630-AT2G288902-3+IR,AT1G07630-AT2G28890,2-3,2-3,+IR,N,N
AT1G07630-AT2G288903-4+IR,AT1G07630-AT2G28890,3-4,3-4,+IR,Y,Y
AT1G07870-AT2G285903-4+IR,AT1G07870-AT2G28590,3-4,3-4,+IR,N,N
AT1G07900-AT2G285001-2+IR,AT1G07900-AT2G28500,1-2,1-2,+IR,N,N
AT1G08040-AT2G2831010-11+ALTA,AT1G08040-AT2G28310,10-11,10-11,+ALTA,N,N
AT1G08040-AT2G2831010-11+ALTD,AT1G08040-AT2G28310,10-11,10-11,+ALTD,N,N
AT1G08040-AT2G2831010-11+IR,AT1G08040-AT2G28310,10-11,10-11,+IR,Y,Y
AT1G08040-AT2G2831011-12+IR,AT1G08040-AT2G28310,11-12,11-12,+IR,N,N
AT1G08040-AT2G2831012-13+IR,AT1G08040-AT2G28310,12-13,12-13,+IR,N,N
AT1G08040-AT2G283103-4-ALTD;-ALTA,AT1G08040-AT2G28310,3-4,3-4,-ALTD;-ALTA,N,N
AT1G08040-AT2G283105-6+IR,AT1G08040-AT2G28310,5-6,5-6,+IR,N,N
AT1G08040-AT2G283106-7+IR,AT1G08040-AT2G28310,6-7,6-7,+IR,N,N
AT1G08040-AT2G283107-8+ALTD,AT1G08040-AT2G28310,7-8,7-8,+ALTD,N,N
