gene_name	A	B	C	Gene_Length
AT1G76240	3117	1013	5372	1119
AT5G10560	4839	5464	8693	3112
AT3G45700	2	1	0	2486
AT3G08580	53929	36654	93406	2132
AT4G33700	868	934	1616	3206
AT2G35710	122	335	284	3489
AT5G17690	987	1089	1788	2512
AT1G56270	0	0	0	634
AT5G39470	16	6	6	1111
AT1G67310	2097	2801	3613	4945
AT4G22790	204	143	337	1718
AT1G32560	49	11	3	796
AT5G60770	0	0	0	2631
AT1G35030	0	0	0	1236
AT1G64660	516	720	1126	1863
AT1G35035	0	0	0	279
AT2G40330	79	13	56	1071
AT2G47100	0	0	0	73
AT4G03180	930	744	1752	1821
AT2G48100	1953	1606	3282	2792
AT3G07800	855	958	1483	1701
AT4G02850	981	889	2320	2150
AT4G22420	0	1	0	819
AT2G03040	0	3	1	750
AT1G16705	0	2	0	1665
AT1G16700	2957	2559	4901	2178
AT1G69440	654	714	1262	3640
AT1G62490	7	6	10	1129
AT1G78940	100	69	192	3340
AT1G11735	0	0	0	117
AT3G21870	1058	1280	1812	964
AT1G11730	50	29	74	2641
AT3G05400	66	38	51	4563
AT1G31200	141	83	256	756
AT4G08400	0	0	1	1542
AT4G03450	166	135	220	2335
AT4G03455	0	0	0	236
AT4G08406	0	0	0	141
AT4G38990	0	0	0	1775
AT1G48500	12	22	39	3187
AT1G71730	1907	1736	3410	850
AT5G53970	2081	2700	3924	2245
AT4G02580	6959	6017	12370	2690
AT1G49450	53	346	279	2017
AT3G30220	0	0	0	593
AT5G55480	2112	2003	4203	3903
AT3G30222	0	0	0	276
AT2G46270	227	475	322	3213
AT5G16120	1589	2723	3006	2284
AT1G45170	951	840	1579	2027
AT4G37700	2	6	6	602
AT2G02310	0	0	0	1372
AT4G29273	0	0	0	373
AT4G29270	23	20	55	1221
AT1G30550	250	232	473	4106
AT1G65200	1	1	1	4320
AT2G05830	3647	3205	6088	2505
AT1G34070	0	0	0	927
AT1G10460	72	25	139	999
AT4G02320	9	9	17	3394
AT4G35700	0	0	0	1002
AT4G02325	0	0	0	99
AT3G20475	61	64	101	7561
AT3G20470	5126	7084	11619	789
AT2G43730	0	0	0	1221
AT5G03000	0	0	0	1170
AT5G27110	129	69	183	2076
AT4G18340	254	622	528	2012
AT3G27845	0	0	0	72
AT3G27840	0	0	0	597
AT5G16780	3262	3970	6232	4769
AT5G19570	241	229	548	504
AT5G54750	1349	1344	2466	2241
AT1G01620	19294	29292	42139	1638
AT2G06562	0	0	0	1620
AT2G45770	3370	3489	6421	2209
AT1G46480	125	171	313	1376
AT5G15470	1547	1491	2867	3733
AT4G38730	545	733	1051	2305
AT4G33280	36	27	37	2002
AT5G14780	7426	13492	13840	2552
AT4G31680	0	0	1	1793
AT3G25560	1621	1377	2508	3348
AT5G16870	418	390	649	1926
AT3G29410	0	0	0	2706
AT4G05310	0	0	0	1248
AT5G15780	1646	3145	4631	1677
AT1G62960	5263	4530	8240	2130
AT2G18876	684	1045	1424	2952
AT3G04260	7486	6660	13723	4493
AT2G18870	1	0	0	1198
AT3G16140	74487	77477	142769	973
AT4G10115	0	0	0	454
AT4G10112	0	0	0	105
AT4G10110	506	698	933	1477
AT4G11640	321	219	444	1549
AT3G57450	576	842	1727	689
AT3G63250	1141	1322	2211	2375
AT2G45190	2139	2245	3951	2448
AT3G11490	1111	1130	2567	2045
AT1G21940	1	0	0	1806
AT5G48460	1663	1882	2987	3388
AT4G15540	2070	1707	3059	1990
AT4G19430	0	0	0	707
AT2G20760	4654	4238	8297	2482
AT2G44820	933	811	1750	1466
AT5G41500	0	0	0	1212
AT2G01520	0	0	0	1223
AT1G61430	498	396	651	3692
AT3G05870	137	119	286	2165
AT5G48465	0	0	0	72
AT5G46030	2438	2617	5167	1257
AT1G14610	9261	7889	16458	6290
AT1G64320	31	43	65	1513
AT1G73805	231	283	396	3752
AT1G79840	353	181	476	4485
AT1G13340	150	112	273	1671
AT4G01940	4123	4147	7051	1471
AT5G09290	5	3	10	1803
AT3G22723	0	0	0	156
AT1G19930	0	0	0	1119
AT3G22720	0	0	0	1137
AT1G67875	0	0	0	195
AT1G67870	50126	40424	81865	1646
AT5G35400	457	387	754	3050
AT3G26030	5647	5273	9789	2247
AT1G18040	445	327	710	2630
AT4G00090	1239	1008	1950	2790
AT5G14430	5088	5080	9034	2994
AT5G10950	1496	1774	2839	2462
AT4G16015	67	66	117	1608
AT2G23520	1155	1075	2004	2953
AT2G18120	49	24	99	1067
AT1G26620	1152	1132	2013	3832
AT2G27230	0	0	0	3759
AT1G52940	0	0	0	7324
AT1G22710	24130	20752	37954	2477
AT4G17940	2173	2526	4319	1228
AT5G47210	39147	25932	71105	2242
AT2G19830	5951	6859	11150	2013
AT1G80260	1965	1974	3390	4897
AT5G42360	850	1165	1633	2354
AT2G47844	0	0	0	147
AT2G47840	2104	1574	3738	815
AT5G01090	2240	1885	4061	1495
AT3G24760	398	408	796	1747
AT5G40290	3	7	3	3243
AT5G56500	1088	912	2017	3606
AT3G20860	178	200	421	2288
AT1G12120	3088	4633	6229	2824
AT3G20865	56	24	95	459
AT1G23390	13976	36467	39347	1538
AT3G46700	12	2	8	1589
AT1G29990	1314	1292	2575	1506
AT5G07730	134	147	205	1084
AT3G27070	0	1	6	1758
AT3G15550	273	271	514	2768
AT1G51410	0	1	1	1540
AT5G06100	796	832	1426	2814
AT5G53144	0	0	0	99
AT2G21960	10360	8908	16487	2250
AT5G62460	1254	1668	2280	2412
AT5G02010	744	1102	1504	2698
AT5G21940	1711	12478	12256	1272
AT3G17950	194	309	410	1108
AT1G29660	25773	20404	47782	1928
AT1G53300	2383	2189	4394	2954
AT4G17050	3868	3503	5609	3021
AT4G21220	86	88	137	2240
AT1G13830	11	2	6	1166
ATMG01170	242	124	211	1385
AT3G06400	5477	6163	10260	5913
AT3G10450	207	203	256	2981
AT2G03520	20	6	25	1892
AT4G19395	0	0	0	104
AT4G19390	340	486	722	1661
AT4G13530	3827	5104	7415	2024
AT1G50450	7455	6618	12906	2587
AT3G13180	3440	2944	6548	3995
AT4G27970	3	9	3	1843
AT1G23970	539	588	928	1845
AT1G11475	1680	1072	3250	1632
AT1G11470	0	0	0	943
AT1G79540	562	353	896	2594
AT1G74710	1579	1559	2462	3823
AT4G14620	0	0	0	1794
AT4G14622	0	0	0	1794
AT1G47578	62	14	80	1106
AT3G47070	26676	22396	44604	669
AT3G14200	1562	1070	2623	2080
AT3G14205	3714	3456	6047	5245
AT3G10986	8	1	4	1470
AT1G14470	103	65	120	1623
AT3G10985	2076	4154	4286	918
AT3G10980	2109	1986	3746	2532
ATMG01090	215	182	290	789
AT3G26855	0	4	0	671
AT3G26850	499	334	825	1776
AT3G12585	0	0	0	73
AT3G12587	456	503	1129	1173
AT3G12580	578	583	988	2532
AT1G79090	3867	3168	6187	4181
AT5G01820	6626	5815	13389	1808
AT2G31260	1505	1721	2587	5380
AT2G28950	8514	6221	17150	2255
AT1G57100	0	0	0	37
AT3G44670	5746	5056	8262	4668
AT4G14080	1	0	0	1822
AT3G58840	1405	1259	3270	1461
AT2G24250	185	218	344	1625
AT1G52160	946	466	1542	3725
AT2G24255	0	0	0	1839
AT3G53740	8792	5849	15923	1310
AT1G13120	1134	1021	2101	4033
AT3G48570	521	454	906	1062
AT4G15975	20	39	71	978
AT1G21530	0	0	0	1786
AT4G15970	5	2	4	2043
AT3G52290	1136	1159	2301	2585
AT2G16970	0	0	0	5980
AT3G02870	8165	6637	15464	2334
AT1G02970	149	96	254	3073
AT3G02875	355	451	691	2162
AT4G10250	1	2	0	949
AT3G55740	1177	1192	2013	2767
AT3G58590	118	96	228	2544
AT2G17620	7	19	31	2420
AT3G62640	0	0	0	612
AT5G22555	0	0	0	1082
AT1G04720	0	0	0	38
AT5G22550	0	0	0	1586
AT4G24300	0	0	0	1234
AT5G63780	7082	6868	10521	2749
AT1G60420	1656	1983	3068	2521
AT5G37490	3	5	0	1674
AT1G08600	2010	1900	3425	9790
AT5G65960	2227	2537	3882	2100
AT1G15200	3950	3462	7573	2885
AT2G26500	65216	60806	129989	657
AT1G19580	1714	1478	3024	2694
AT5G36720	0	0	0	264
AT5G36722	0	0	0	618
ATCG00740	503	238	442	990
AT1G14150	6830	6923	12131	899
ATCG01290	0	0	0	74
AT3G48390	263	1723	612	2682
AT5G27450	1034	900	1818	2619
AT1G53480	0	1	5	1499
AT3G49620	16	56	12	3070
AT3G42630	816	819	1364	1608
AT1G19050	2401	1344	3926	1346
AT1G59620	1374	1829	2012	3402
AT5G15845	24	20	32	4705
AT4G15020	1642	1714	2956	3280
AT3G59070	5	1	6	2151
AT1G01770	1698	2083	2863	4277
AT5G67230	312	424	551	1851
AT4G22220	8088	6639	13185	1806
AT3G51240	41	17	31	1681
AT3G04110	1031	1070	1509	3078
AT2G15660	0	0	0	1335
AT3G50590	5871	6241	10128	8484
AT3G05240	49	33	56	1698
AT1G03730	284	417	678	1068
AT3G03830	135	168	137	505
AT5G20150	1212	840	2068	1254
AT1G57590	148	180	205	2404
AT1G49610	22	10	21	1514
AT4G09820	9	0	3	4471
AT5G51730	746	802	1239	2240
AT2G26270	145	144	279	3037
AT5G38386	3	0	2	1638
AT1G44191	0	0	0	1080
AT1G31040	2	5	4	2499
AT4G29070	2893	2963	4960	1495
AT1G34270	404	531	777	2134
AT3G47910	5340	3295	7324	7306
AT1G30790	0	0	0	1354
AT5G45745	0	0	0	72
AT1G30795	0	0	0	596
AT1G79450	10	15	32	2454
AT4G22910	689	525	1038	3335
AT3G54900	12944	11073	22251	806
AT4G26210	966	612	1535	1466
AT3G58035	0	0	0	82
AT3G58030	2059	2225	3907	2576
AT3G50620	225	195	444	2220
AT5G48240	1006	541	1904	2033
AT4G04423	12	14	26	841
AT4G12340	1632	1664	3072	1200
AT3G56500	0	0	1	333
AT2G29140	1918	1732	3537	4562
AT1G06810	1	2	1	791
AT5G54510	301	911	353	2586
ATMG00100	0	0	0	73
AT5G50460	1648	1524	3212	1130
AT5G58610	15	7	12	4283
AT3G19940	0	0	3	1765
AT5G13840	228	202	502	2484
AT3G15610	1313	1449	2278	2244
AT5G13845	0	0	0	72
AT5G45510	12204	14444	22358	4790
AT5G63870	1622	1714	2804	2115
AT1G71970	1763	2425	3161	1000
AT5G18780	235	202	302	1814
AT2G35170	316	493	460	2340
AT2G39840	1282	1031	1964	2032
AT3G05930	0	0	0	1073
AT3G05932	118	60	138	1438
AT3G05935	348	323	628	638
AT5G28400	1580	1913	2477	4211
AT3G05937	160	219	314	874
AT3G05936	336	987	935	758
AT4G33910	919	1162	1584	2039
AT2G32740	6	5	3	1407
AT2G37990	3404	1697	5390	2584
AT2G38465	15	53	39	651
AT2G38460	1083	899	1750	2867
AT2G30670	0	0	0	1592
AT2G35280	0	0	0	823
AT1G50890	617	634	1056	3869
AT1G70590	610	1020	1318	2068
AT2G39590	0	0	0	678
AT3G59850	3	1	0	2446
AT2G28230	543	645	1151	1370
AT1G69260	99	364	205	1673
AT1G25025	0	0	0	777
AT1G78360	0	0	2	897
AT5G26260	7	27	7	1938
AT5G52910	406	522	786	5533
AT5G26262	0	0	0	108
AT5G22960	0	0	0	1039
AT4G30750	1419	1689	2501	1169
AT5G28900	2835	2906	4760	4704
AT1G72990	609	478	908	5124
AT5G57240	9	27	34	2156
AT1G70620	5836	4931	9139	4519
AT2G36485	290	238	538	841
AT2G36480	1502	1082	2293	3708
AT5G22160	0	0	0	2312
AT1G47260	8053	6514	14549	2312
AT1G47265	2	0	0	594
AT5G14230	90	98	205	4224
AT5G56920	0	0	0	1020
AT5G08400	545	394	912	2482
AT1G72660	20	18	23	2880
AT2G39330	308	240	299	2257
AT5G11550	721	823	1619	1238
AT5G39840	600	300	1035	2418
AT2G31100	3	1	11	1439
AT2G36730	132	98	220	1506
AT1G77010	55	31	79	2088
AT1G36100	0	0	0	564
AT3G02680	215	218	446	3182
AT5G35230	0	0	0	1696
AT5G54400	5	7	21	1594
ATCG00820	108	53	105	279
AT2G40840	20369	22400	34711	5985
AT1G22550	298	428	551	2109
AT4G35980	483	483	936	1125
AT4G35985	114	198	302	1595
AT4G35987	368	364	641	1936
AT4G31408	3	0	0	241
AT1G28730	0	0	0	72
AT1G48200	190	208	471	1574
AT1G68920	1295	1607	2462	2895
AT4G31400	200	175	263	1954
ATCG01010	417	52	112	2241
AT4G32660	2127	1901	3499	3187
AT1G22080	0	0	0	2646
AT4G36750	1534	1695	2928	1887
AT5G52000	10	14	14	2096
AT4G23635	0	0	0	84
AT5G35120	0	0	0	324
AT4G23630	8355	8569	16245	2879
AT3G07300	2059	1710	3755	3009
AT1G33880	0	0	0	1050
AT3G03480	162	107	203	1601
AT1G62750	98520	71474	164471	3014
AT3G09220	0	0	0	3304
AT1G67500	573	577	956	9231
AT5G40050	0	0	0	1469
AT2G44660	467	511	868	2008
AT1G12320	323	240	536	988
AT3G04650	3958	2845	6769	2639
AT3G22060	2040	3640	4770	1325
AT1G26700	0	0	0	4006
AT5G14900	0	0	1	906
AT4G18930	958	1189	1795	1342
AT4G01200	82	101	163	1116
AT2G37460	3239	1980	3509	2651
AT1G17665	18	7	14	2232
AT1G17660	0	0	0	72
AT3G03150	5213	8185	10047	1951
AT4G08300	936	576	778	3452
AT1G12490	1	12	9	1087
AT5G39150	0	0	0	911
AT1G16130	69	369	181	2722
AT1G29465	1203	1165	2055	1225
AT1G29460	910	950	1340	637
AT2G19500	0	0	1	3152
AT3G08790	3	2	1	3121
AT4G33130	34	20	53	1709
AT2G35900	858	764	1308	1657
AT2G04190	0	0	1	2862
AT2G43310	62	76	140	788
AT5G35840	3230	3172	5587	3939
AT1G11670	823	662	1376	3415
AT2G47310	484	382	713	3594
AT1G27070	673	823	1374	2796
AT3G60060	0	0	0	788
AT5G13300	2701	2965	4897	6714
AT1G65900	695	681	1331	2651
AT1G65907	0	0	0	93
AT5G53830	140	174	387	935
AT2G04220	0	0	0	1107
AT2G02100	247	564	1009	759
AT2G02103	0	0	0	1396
AT5G41090	0	1	0	774
AT5G48720	304	266	500	2841
AT1G64360	704	637	1012	664
AT2G03020	38	22	59	1504
AT2G42360	51	43	72	993
AT2G42365	105	120	171	4052
AT5G55360	0	0	0	1029
AT5G38400	0	0	2	456
AT3G62500	228	241	434	1800
AT1G30960	297	178	619	2422
AT5G06270	767	653	1382	1125
AT1G71500	29169	26121	54076	1626
AT5G03610	982	732	1813	3021
AT2G27810	3223	2622	5577	4212
AT2G42090	8	4	5	1626
AT3G28243	0	0	0	114
AT5G04960	0	0	0	2063
AT4G39360	2	7	2	730
AT4G39361	2	0	2	120
AT4G39363	1	0	7	120
AT4G39364	0	2	1	122
AT4G39366	2	2	12	120
AT5G05990	990	485	1586	1147
AT4G37930	266250	255666	460925	3197
AT1G80840	149	1338	2612	1809
AT5G15620	1	0	0	1527
AT4G10090	423	388	668	2151
AT3G55500	242	1398	656	1352
AT1G20930	152	174	386	2179
AT4G04740	1508	1816	2420	5129
AT5G42540	4563	3950	7176	7408
AT4G04745	55	80	77	575
AT2G13100	1376	1436	2479	1724
AT1G10230	306	348	648	789
AT1G08440	0	0	0	2317
AT1G24030	29	34	55	2227
AT4G39090	12535	36979	28721	1927
AT1G60620	386	293	615	2419
AT5G37650	0	0	0	1824
AT1G60625	0	0	0	246
AT3G17420	334	312	733	2968
AT2G43940	247	250	427	1735
AT5G09820	1106	916	1838	1669
AT2G43945	7413	6965	12648	2351
AT5G36520	0	0	0	357
AT3G62330	1212	1321	2377	2903
AT3G62336	0	0	0	204
AT1G66660	318	357	502	1493
AT3G27650	9	10	10	2066
AT2G20260	33624	38748	71791	1034
AT3G25240	0	0	0	846
AT1G60990	2518	2099	4350	2785
AT1G60995	1494	1484	2503	5077
AT3G11860	11	11	8	2035
AT1G15770	0	2	2	1389
AT3G29590	4	0	0	1350
AT1G15772	0	0	1	1042
AT1G19210	4	21	59	709
AT5G18210	214	278	440	2129
AT3G16480	3449	2449	5656	3209
AT5G49540	1434	1512	3078	1642
AT1G14420	5	2	3	1950
AT5G14570	59	41	66	1995
AT3G48800	600	373	1102	837
AT1G66590	325	256	504	1289
AT3G25795	0	0	0	1155
AT3G25790	0	0	0	1877
AT1G53970	0	0	0	480
AT5G43630	5762	2967	9776	3766
AT2G23220	0	0	1	2203
AT2G15460	0	0	0	1714
AT1G25340	0	0	0	1318
AT4G16930	0	0	1	552
AT2G22570	305	246	441	1445
AT2G19970	2	4	4	747
AT1G03530	1004	608	1806	2896
AT5G25340	2	9	8	1767
AT4G11050	0	2	0	3845
AT5G01440	0	0	0	1500
AT5G47390	2797	5408	5489	2069
AT5G01445	69	58	137	705
AT3G11280	5403	3994	7892	1593
AT3G11285	0	0	0	73
AT2G20597	0	0	0	425
AT2G20595	0	0	0	511
AT4G27320	3097	3621	5347	2461
AT4G19600	1410	1228	2543	3971
AT2G17950	0	0	0	1925
AT5G57250	1131	939	1737	3692
AT5G09310	421	561	993	1347
AT5G41774	0	0	0	192
AT5G41770	3233	2889	6295	3227
AT4G00110	509	487	1087	1686
AT1G03280	1914	1919	3225	4032
AT5G47020	4260	5027	7587	8566
AT3G11130	15735	13834	25576	9760
AT5G56720	38	63	94	1182
AT3G22970	0	0	0	2112
AT1G12860	2787	2833	5534	2258
AT3G23080	8985	10917	16594	1884
AT1G58808	2	2	2	2225
AT3G24535	21	29	75	567
AT1G58807	16225	14034	27522	4112
AT3G24530	1280	1500	2654	2514
AT1G17300	0	0	0	791
AT2G21880	323	357	624	1689
AT3G49860	1	6	7	1056
AT1G28470	30	30	72	2018
AT4G16200	0	0	0	917
AT1G80540	7	17	34	2682
AT5G02930	0	10	14	1904
AT5G06690	2006	4596	4497	1454
AT3G51990	386	466	692	1453
AT5G61430	39	12	38	1640
AT4G26050	8	8	7	3019
AT1G55980	1714	1673	3002	2915
AT2G27060	2510	2376	4853	3735
AT4G26055	1	4	4	332
AT5G65950	4649	3785	6909	5099
AT2G22680	101	213	187	2301
AT3G50022	0	0	0	150
AT1G51600	826	894	1596	3321
AT5G65700	4425	4009	7807	3491
AT4G28230	183	172	342	1529
AT4G21580	1993	2392	3570	2050
AT4G24560	2192	1779	3608	5730
AT4G12580	11	11	27	506
AT4G24565	0	0	0	82
AT5G40550	288	345	591	2314
AT5G39471	35	46	82	1632
AT2G16340	0	0	0	351
AT4G26580	48	40	103	1586
AT4G26582	27	20	32	1365
AT5G28491	0	0	0	126
AT3G01760	9	2	13	1972
AT1G23680	0	0	0	470
AT3G27130	44	51	88	1623
AT3G56070	2670	1370	4387	1404
AT1G65250	242	246	466	1471
AT3G06230	0	0	0	882
AT5G59850	10743	5478	21293	1418
AT4G24690	9816	12696	17532	3501
AT3G17850	5134	6255	9023	6754
AT1G23580	7	2	2	1360
AT1G75670	345	122	445	1424
AT4G13180	717	1103	1642	1002
AT3G46510	3872	4476	6955	2953
AT3G13570	2285	2016	4221	2862
AT1G11880	367	333	530	2729
AT3G51730	8414	10881	15166	2026
AT2G30470	2529	2229	4784	4537
AT4G26095	0	0	0	3285
AT5G60990	1775	974	2725	2910
AT2G34500	0	12	1	1928
AT2G20860	10415	10494	19663	1648
AT1G53110	371	498	741	2301
AT5G64430	1085	1823	1877	1885
AT1G57600	818	704	1237	4216
AT4G21050	0	0	0	633
AT5G26060	0	0	0	678
AT1G20580	2349	2160	4700	1759
AT5G62162	0	0	0	114
AT5G62160	0	1	0	1157
AT2G16835	1	0	0	468
AT5G62165	0	3	6	3821
AT3G52310	68	160	165	4326
AT2G25330	1	1	0	2386
AT3G13390	0	0	0	2349
AT4G25770	1198	1501	2257	2590
AT2G17120	1548	1567	2489	1773
AT1G79350	3491	3128	5691	8782
AT3G12620	1830	1380	3145	2125
AT1G74100	6931	8047	14965	1350
AT3G19630	1088	1132	1849	2357
AT1G73730	1363	1279	2388	2484
AT1G20050	2016	1818	3538	1277
AT5G38360	1044	938	1875	1915
AT3G18940	800	897	1518	2192
AT5G51910	124	170	330	1156
AT1G72460	0	0	0	2024
AT5G37350	1297	1258	2471	3044
AT5G37351	0	0	0	192
AT3G61520	1143	726	1777	2358
AT5G58890	0	0	0	885
AT1G69100	0	0	0	1438
AT3G57840	0	0	0	465
ATCG01080	271	21	71	531
AT3G02440	0	1	1	1426
AT1G04390	925	921	1519	4342
AT1G52640	52	50	83	1722
AT2G32830	19	27	40	2015
AT3G16810	2075	898	3391	4372
AT1G65290	5880	4010	10208	1594
AT3G60238	0	0	0	760
AT1G43090	0	0	0	1954
AT5G23340	1060	1384	2068	2131
AT1G15430	317	650	930	1696
AT1G78750	67	70	103	1574
AT3G44820	1091	906	1957	3241
AT4G26870	3399	3094	6203	2540
AT4G36515	355	271	584	743
AT4G36510	0	1	0	675
AT3G19090	0	2	2	2244
AT5G66420	2805	2910	4662	3408
AT3G45190	3782	3599	6559	6606
AT3G49470	6341	5884	12500	1514
AT4G30825	3729	2629	6569	2715
AT5G63610	1124	1477	2267	2461
AT1G32910	0	0	1	1483
AT4G30820	438	382	642	2058
AT2G46850	0	0	0	2303
AT5G24570	248	291	482	452
AT1G55510	547	624	844	2367
AT5G57540	0	0	0	1054
AT4G08140	0	0	0	468
AT4G23340	0	1	2	1341
AT2G40140	1137	2522	6646	2585
AT3G07670	4720	4426	7945	3253
ATCG01310	4822	3854	7397	1507
AT3G03310	526	701	844	3013
AT1G48040	440	222	617	2102
AT3G09180	1082	1038	1817	2308
AT1G05440	9	23	48	1842
AT4G11930	0	2	0	819
AT3G51030	141	104	261	1055
AT3G04320	0	0	0	871
AT1G49790	51	49	53	1718
AT5G50790	4	1	8	1749
AT5G52320	1176	2435	2434	1705
AT1G09140	3484	2944	5355	3398
AT1G76610	26	59	49	864
AT2G32160	3097	2860	4087	4057
AT2G30990	1082	1365	1927	2701
ATMG01275	20	4	3	387
AT5G17240	312	197	546	2056
AT2G01755	1127	1262	2225	588
ATMG01270	9	11	17	447
AT1G44010	0	0	0	943
AT5G52495	0	0	0	84
AT5G52490	0	0	0	1383
AT1G59810	0	0	5	852
AT2G01750	559	382	1004	4025
AT5G25625	0	0	0	73
AT1G63360	4237	4645	6903	2655
AT5G61610	17	6	19	1154
AT5G20050	1398	1928	2536	1544
AT2G46420	1463	1008	1963	3411
AT4G27040	1608	1863	3005	2650
AT5G44620	0	0	0	1780
AT5G64130	3814	4140	8155	1895
AT4G05631	545	390	852	2613
AT4G05630	0	0	0	375
AT4G05632	0	0	0	748
AT5G55560	64	62	129	1578
AT2G37070	22	31	30	2894
AT4G33030	7057	6083	12796	2392
AT1G74920	6018	8458	11857	3736
AT1G54390	1200	1003	1965	2442
AT1G74929	3	0	0	102
AT3G54660	28239	24644	44371	3439
AT1G06130	1616	1743	2803	2964
AT4G02170	0	1	0	593
AT1G06137	0	0	0	207
AT3G59550	333	279	543	3625
AT1G06135	0	0	1	546
AT1G31580	37626	27936	45257	821
AT4G05180	192455	226043	413910	1422
AT5G58790	143	114	274	1105
AT5G21010	978	990	1610	2673
AT3G57060	503	511	846	6247
AT3G01202	13	8	21	1562
AT3G57062	1553	821	2299	533
AT3G01200	302	230	388	1852
AT3G18217	4	0	6	165
AT1G34400	0	0	0	624
AT4G04580	0	0	1	1146
AT4G28170	0	5	9	1203
AT5G48630	988	598	1461	1666
AT1G24230	0	1	0	1097
AT5G12360	109	116	229	1936
AT1G68070	971	1158	1846	1637
AT3G58200	68	47	90	1573
AT1G30230	18683	16739	37399	1869
AT1G47655	125	205	295	942
AT1G71830	243	218	536	3960
AT2G40960	1608	1433	3067	1933
AT3G56330	825	597	1476	1753
AT3G09850	4356	4975	8049	2641
AT1G24580	127	82	211	645
AT4G08920	23337	29664	41202	3151
ATMG00710	0	0	1	363
AT5G39950	2284	2363	4140	1245
AT5G50230	783	996	1455	2512
AT1G75330	5273	5001	10095	2154
AT1G07770	11614	9086	25041	1375
AT1G70120	0	0	0	677
AT1G75335	140	72	252	462
AT5G57950	445	502	861	1680
AT1G73470	2856	3163	5087	2566
AT3G28990	0	0	0	722
AT5G12980	1056	897	1821	2802
AT1G50800	0	0	0	1430
AT2G35320	818	1122	1675	2029
AT3G29020	1	0	0	1340
AT1G25180	18	10	29	777
AT5G15350	5911	5970	11487	1281
AT5G14000	12	17	17	1293
AT5G07520	14	4	7	1394
AT2G04400	4116	2865	6462	2590
AT2G28000	66950	46352	127426	2941
AT4G31300	4110	3647	7149	2391
AT5G11180	0	0	0	4315
AT5G49700	36	69	63	831
AT1G61800	54	20	46	2335
AT4G20080	0	0	4	2325
AT1G22320	0	0	0	38
AT5G10270	829	904	1439	3159
AT5G35080	855	952	1629	2545
AT5G47620	3386	2424	5029	2627
AT5G10278	0	0	1	4438
AT5G58220	1466	1515	2429	1486
AT2G45870	69	31	116	1584
AT5G43535	0	0	0	71
