pair	j1	j2	class	g1r1alt	g1r1cons	g1r2alt	g1r2cons	g1r3alt	g1r3cons	g2r1alt	g2r1cons	g2r2alt	g2r2cons	g2r3alt	g2r3cons	Locus1	Locus2
AT1G05570-AT2G31960	23-24	23-24	+IR	3	24	1	26	3	19	6	119	7	94	6	128	CDS	CDS
AT1G05570-AT2G31960	25-26	25-26	+IR	0	22	0	34	0	45	3	142	3	172	6	240	CDS	CDS
AT1G05570-AT2G31960	28-29	28-29	+IR	0	21	0	16	0	30	7	154	8	128	3	200	CDS	CDS
AT1G05570-AT2G31960	31-32	31-32	+IR	0	27	0	37	0	41	1	193	6	172	2	298	CDS	CDS
AT1G05570-AT2G31960	36-37	36-37	+IR	0	40	0	22	0	56	1	252	2	225	2	412	CDS	CDS
AT1G05570-AT2G31960	38-39	38-39	+IR	0	11	0	22	0	25	1	235	1	243	1	416	CDS	CDS
AT1G48630-AT3G18130	1-2	1-2	+IR	12	886	8	397	25	1508	10	1105	2	428	18	1938	CDS	CDS
AT1G29050-AT2G34070	1-2	1-2	+IR	0	63	0	51	0	115	14	140	4	122	10	220	CDS	CDS
AT1G29050-AT2G34070	2-3	2-3	+IR	9	59	5	43	10	76	9	174	12	165	8	292	CDS	CDS
AT1G29050-AT2G34070	3-4	3-4	+IR	2	40	1	41	6	69	4	106	1	98	11	148	CDS	CDS
AT1G29050-AT2G34070	4-5	4-5	+IR	0	41	0	41	0	97	5	93	7	70	4	127	CDS	CDS
AT1G04990-AT2G32930	4-5	4-5	+IR	3	79	2	71	1	84	0	45	0	22	0	76	CDS	CDS
AT1G04990-AT2G32930	5-6	5-6	+IR	12	34	8	49	13	31	0	68	0	36	0	72	CDS	CDS
AT1G04990-AT2G32930	6-7	6-7	+IR	5	55	8	58	6	66	0	67	0	42	0	78	CDS	CDS
AT2G22310-AT4G39910	3-4	2-3	+IR	0	48	0	69	0	93	11	230	3	294	4	428	CDS	CDS
AT2G22310-AT4G39910	4-5	3-4	+IR	2	17	3	52	1	77	10	182	14	244	12	360	CDS	CDS
AT2G22310-AT4G39910	5-6	4-5	+IR	22	54	25	76	43	112	12	195	25	301	31	411	CDS	CDS
AT1G10900-AT1G60890	3-4	3-4	+ALTA	0	684	0	518	0	912	5	15	2	19	4	29	CDS	CDS
AT1G10900-AT1G60890	3-4	3-4	+IR	45	639	18	500	30	882	6	14	3	18	6	27	CDS	CDS
AT1G10900-AT1G60890	4-5	4-5	+IR	3	608	5	414	8	831	0	30	0	20	0	32	CDS	CDS
AT1G10900-AT1G60890	5-6	5-6	+ALTA	8	718	1	475	7	955	0	20	0	27	0	52	CDS	CDS
AT1G10900-AT1G60890	5-6	5-6	+IR	26	700	34	442	62	900	5	15	1	26	7	45	CDS	CDS
AT1G10900-AT1G60890	6-7	6-7	+IR	15	615	8	400	17	750	0	26	0	26	0	50	CDS	CDS
AT1G10900-AT1G60890	6-7	6-7	-ALTA	3	627	1	407	2	765	0	26	0	26	0	50	CDS	CDS
AT1G10900-AT1G60890	7-8	7-8	+IR	15	637	5	451	13	809	2	33	4	11	3	56	CDS	CDS
AT1G10900-AT1G60890	8-9	8-9	+IR	23	530	6	356	13	693	0	44	0	21	0	52	CDS	CDS
AT1G10900-AT1G60890	9-10	9-10	+IR	33	458	10	318	22	600	0	43	0	38	0	81	CDS	CDS
AT3G49720-AT5G65810	2-3	2-3	+IR	5	754	1	779	8	1605	0	155	0	189	0	417	CDS	CDS
AT5G10470-AT5G65460	5-6	5-6	+ALTD	0	358	0	238	0	460	14	119	16	79	37	127	CDS	CDS
AT5G10470-AT5G65460	5-6	5-6	-ALTA	11	347	2	236	2	458	0	133	0	95	0	164	CDS	CDS
AT5G10470-AT5G65460	5-6	5-6	+IR	5	353	3	235	5	455	56	77	31	64	63	101	CDS	CDS
AT5G10470-AT5G65460	6-7	6-7	+IR	32	421	20	246	30	441	0	111	0	106	0	149	CDS	CDS
AT5G10470-AT5G65460	6-7	6-7	-ALTA	6	447	1	265	12	459	0	111	0	106	0	149	CDS	CDS
AT5G10470-AT5G65460	13-14	13-14	+IR	1	479	2	304	6	572	0	65	0	67	0	110	CDS	CDS
AT5G10470-AT5G65460	16-17	16-17	+IR	16	446	9	277	50	528	0	80	0	97	0	122	CDS	CDS
AT5G10470-AT5G65460	17-18	17-18	+IR	0	365	0	263	0	464	6	83	5	80	3	112	CDS	CDS
AT5G10470-AT5G65460	18-19	18-19	+IR	0	625	0	428	0	855	22	108	8	104	25	147	CDS	CDS
AT5G10470-AT5G65460	19-20	19-20	+IR	0	472	0	342	0	641	18	75	10	83	20	128	CDS	CDS
AT5G10470-AT5G65460	20-21	20-21	-ALTA;+ALTD	0	592	0	437	0	791	7	112	5	114	12	209	CDS	CDS
AT5G10470-AT5G65460	21-22	21-22	+IR	0	768	0	602	0	1178	9	123	7	141	12	167	CDS	CDS
AT5G10470-AT5G65460	22-23	22-23	+IR	7	818	1	625	9	1154	20	127	11	154	37	265	CDS	CDS
AT4G26580-AT5G55970	2-3	2-3	+IR	0	7	0	11	0	13	18	38	26	168	56	124	CDS	CDS
AT1G30490-AT2G34710	1-2	1-2	+ALTD	1	94	1	68	4	144	0	151	0	108	0	184	CDS	CDS
AT1G30490-AT2G34710	1-2	1-2	+IR	3	92	1	68	1	147	8	143	10	98	16	168	CDS	CDS
AT1G30490-AT2G34710	7-8	6-7	+IR	0	82	0	49	0	77	9	119	4	106	4	225	CDS	CDS
AT1G30490-AT2G34710	9-10	8-9	+IR	1	95	4	79	5	177	0	209	0	171	0	370	CDS	CDS
AT1G30490-AT2G34710	11-12	10-11	+IR	1	83	1	68	7	131	0	242	0	155	0	350	CDS	CDS
AT1G30490-AT2G34710	13-14	12-13	+IR	0	106	0	105	0	191	5	223	2	171	3	359	CDS	CDS
AT1G30490-AT2G34710	14-15	13-14	+IR	35	75	12	63	38	150	11	201	8	153	29	335	CDS	CDS
AT1G30490-AT2G34710	17-18	16-17	+IR	4	132	6	102	3	228	10	193	4	177	11	361	CDS	CDS
AT4G24390-AT5G49980	2-3	2-3	+IR	3	66	3	132	9	160	17	305	15	304	20	499	CDS	CDS
AT2G24420-AT4G31340	1-2	1-2	+IR	0	803	0	904	0	1468	3	465	1	619	2	1070	CDS	CDS
AT2G24420-AT4G31340	1-2	1-2	-ALTA	2	801	2	902	3	1465	0	468	0	620	0	1072	CDS	CDS
AT2G24420-AT4G31340	2-3	2-3	+IR	16	579	4	729	9	1082	0	541	0	544	0	1057	CDS	CDS
AT2G24420-AT4G31340	3-4	3-4	-ALTA	7	808	2	1014	10	1494	0	479	0	500	0	933	CDS	CDS
AT2G24420-AT4G31340	4-5	4-5	+IR	0	643	0	808	0	1289	8	532	3	570	10	924	CDS	CDS
AT2G24420-AT4G31340	5-6	5-6	+IR	1	649	3	683	1	1097	0	465	0	495	0	899	CDS	CDS
AT2G24420-AT4G31340	9-10	10-11	+IR	1	485	1	445	2	684	0	421	0	323	0	522	CDS	CDS
AT1G01820-AT2G45740	2-3	1-2	+IR	1	392	1	398	1	642	15	1566	10	1768	22	2860	CDS	CDS
AT1G01820-AT2G45740	3-4	2-3	+IR	5	424	8	470	12	761	75	1802	50	1964	125	3141	CDS	CDS
AT1G01820-AT2G45740	4-5	3-4	+IR	20	441	39	529	52	774	1	1691	3	1635	4	2553	CDS	CDS
AT1G01820-AT2G45740	5-6	4-5	+IR	14	371	15	486	20	796	9	1865	3	1720	5	2897	CDS	CDS
AT1G01820-AT2G45740	6-7	5-6	+IR	2	382	1	496	6	771	0	1861	0	1904	0	3094	CDS	CDS
AT1G01820-AT2G45740	6-7	5-6	+ALTA	20	364	32	465	46	731	0	1861	0	1904	0	3094	CDS	CDS
AT2G47690-AT3G62790	1-2	1-2	+ALTD	12	768	8	696	30	1501	0	1142	0	1121	0	2312	CDS	CDS
AT2G47690-AT3G62790	1-2	1-2	+IR	52	728	28	676	46	1485	23	1119	31	1090	55	2257	CDS	CDS
AT3G26960-AT5G41050	1-2	1-2	+IR	8	169	2	121	3	263	46	351	20	355	106	636	CDS	CDS
AT2G43850-AT3G59830	1-2	1-2	-ALTD	1	37	2	65	1	79	0	0	0	0	0	1	CDS	CDS
AT2G43850-AT3G59830	3-4	3-4	+IR	1	42	1	55	6	59	0	1	0	0	0	0	CDS	CDS
AT2G43850-AT3G59830	7-8	6-7	+IR	7	83	4	78	11	100	0	0	0	0	0	7	CDS	CDS
AT2G43850-AT3G59830	7-8	6-7	+ALTA	67	23	55	27	67	44	0	0	0	0	0	7	CDS	CDS
AT3G01930-AT5G14120	1-2	1-2	+IR	72	26	79	25	95	42	26	917	165	2018	129	1341	CDS	CDS
AT3G01930-AT5G14120	2-3	2-3	+IR	55	30	57	25	92	61	47	1097	400	2664	305	1791	CDS	CDS
AT2G47970-AT3G63000	1-2	1-2	+IR	5	253	8	292	14	514	24	327	20	387	45	738	CDS	CDS
AT1G50740-AT3G20510	1-2	1-2	+IR	2	130	12	235	29	267	4	293	8	183	9	333	CDS	CDS
AT1G11310-AT1G61560	2-3	2-3	+IR	7	499	7	775	8	859	0	11	0	4	0	14	CDS	CDS
AT1G11310-AT1G61560	5-6	5-6	+IR	19	690	26	1169	23	1221	0	22	0	14	0	23	CDS	CDS
AT1G11310-AT1G61560	13-14	13-14	+IR	7	468	17	754	35	898	2	6	8	16	6	19	CDS	CDS
AT1G63500-AT5G41260	2-3	2-3	+IR	0	105	0	150	0	176	1	113	10	137	4	169	CDS	CDS
AT1G63500-AT5G41260	3-4	3-4	+ALTD	0	127	0	161	0	246	1	103	2	92	1	169	CDS	CDS
AT1G63500-AT5G41260	5-6	5-6	+IR	0	115	0	138	0	219	1	83	4	83	5	147	CDS	CDS
AT1G63500-AT5G41260	6-7	6-7	+IR	0	182	0	211	0	344	3	126	3	128	1	233	CDS	CDS
AT1G63500-AT5G41260	7-8	7-8	-ALTD	0	219	0	189	0	367	2	145	5	182	1	302	CDS	CDS
AT1G63500-AT5G41260	7-8	7-8	+IR	2	217	4	185	5	362	7	140	9	178	12	291	CDS	CDS
AT1G63500-AT5G41260	8-9	8-9	+IR	14	150	9	170	14	270	0	135	0	176	0	250	CDS	CDS
AT1G63500-AT5G41260	9-10	9-10	+IR	0	232	0	191	0	336	4	156	14	163	14	273	CDS	CDS
AT3G11550-AT5G06200	1-2	1-2	+IR	1	0	6	0	2	0	0	0	0	0	0	4	CDS	CDS
AT3G11550-AT5G06200	2-3	2-3	+IR	4	0	2	0	6	0	0	0	0	0	0	4	CDS	CDS
AT3G23310-AT4G14350	6-7	6-7	+IR	0	221	0	203	0	351	7	115	1	108	2	169	CDS	CDS
AT3G23310-AT4G14350	7-8	7-8	+IR	0	209	0	166	0	267	13	116	7	143	7	206	CDS	CDS
AT3G23310-AT4G14350	10-11	10-11	+IR	0	160	0	234	0	335	5	172	5	200	22	223	CDS	CDS
AT3G23310-AT4G14350	10-11	10-11	+ALTA	0	160	0	234	0	335	1	176	3	202	1	244	CDS	CDS
AT3G23310-AT4G14350	11-12	11-12	+IR	0	141	0	193	0	275	14	205	8	176	19	233	CDS	CDS
AT3G23310-AT4G14350	12-13	12-13	+IR	0	192	0	265	0	387	2	168	7	190	18	263	CDS	CDS
AT3G23310-AT4G14350	13-14	13-14	+ALTA	9	333	3	348	7	629	0	167	0	192	0	272	CDS	CDS
AT3G23310-AT4G14350	13-14	13-14	+IR	4	338	2	349	4	632	11	156	2	190	13	259	CDS	CDS
AT1G15960-AT1G80830	1-2	1-2	+IR	0	45	0	28	0	113	8	127	8	97	8	176	CDS	CDS
AT1G15960-AT1G80830	4-5	4-5	+IR	0	55	0	37	0	104	12	105	3	75	11	124	CDS	CDS
AT1G15960-AT1G80830	4-5	4-5	-ALTA	1	54	1	36	4	100	0	117	0	78	0	135	CDS	CDS
AT1G15960-AT1G80830	5-6	5-6	+ALTD	10	49	6	28	6	92	0	112	0	86	0	148	CDS	CDS
AT1G15960-AT1G80830	5-6	5-6	+IR	26	33	6	28	27	71	0	112	0	86	0	148	CDS	CDS
AT1G15960-AT1G80830	6-7	6-7	+IR	65	20	27	9	67	16	0	140	0	109	0	161	CDS	CDS
AT1G15960-AT1G80830	6-7	6-7	-ALTD	3	82	3	33	2	81	0	140	0	109	0	161	CDS	CDS
