gene_name	species	junct	class	A_alt	A_nrm	B_alt	B_nrm	C_alt	C_nrm	unique_code
AT2G25590	AT	2	CRIN	30	750	41	596	77	1153	10891383:10891452:-:CRIN
AT2G25590	AT	2-3	ALTA	72	50	90	33	130	69	10891793:10891877:+:ALTA
AT2G25590	AT	2-3	IR	50	72	33	90	69	130	na:na:+:IR
AT2G25590	AT	3-4	ALTD	18	130	11	93	12	160	10892031:10892123:-:ALTD
AT2G25590	AT	3-4	IR	121	27	92	12	160	12	na:na:+:IR
AT2G25590	AT	4-5	ALTP	18	282	17	168	29	349	10892353:10893022:+:ALTD;10893114:10893164:+:ALTA
AT2G25590	AT	4-5	ALTP	1	299	1	184	1	377	10892353:10893022:+:ALTD;10893147:10893164:+:ALTA
AT2G25590	AT	4-5	CPLX	3	297	2	183	2	376	10893114:10893164:+:ALTA;10892942:10893022:+:CREX
AT2G25590	AT	4-5	IR	276	24	162	23	336	42	na:na:+:IR
AT2G25590	AT	5-6	IR	13	49	5	24	16	59	na:na:+:IR
AT2G25590	AT	6-7	IR	73	0	44	0	68	0	na:na:+:IR
AT5G25130	AT	1-2	IR	16	57	20	90	21	87	na:na:+:IR
AT5G25130	AT	2-3	ALTD	2	157	1	331	1	313	8669397:8669405:+:ALTD
AT5G25130	AT	2-3	IR	7	152	23	309	47	267	na:na:+:IR
AT3G15020	AT	2-3	IR	8	244	1	127	6	357	na:na:+:IR
AT3G15020	AT	6-7	IR	2	317	5	194	1	555	na:na:+:IR
AT5G01650	AT	2-3	IR	72	22	54	23	121	59	na:na:+:IR
AT5G01650	AT	3-4	ALTD	33	77	12	59	42	105	243034:243037:+:ALTD
AT5G01650	AT	3-4	IR	77	33	59	12	104	43	na:na:+:IR
AT5G01650	AT	2-4	SKIP	1215	2183	1014	2011	1841	4040	2-4
AT5G05570	AT	11	CRIN	3	1763	3	2009	9	2891	1661052:1661126:-:CRIN
AT5G05570	AT	11-12	ALTD	7	95	2	75	2	108	1660886:1660890:-:ALTD
AT5G05570	AT	12	CRIN	48	1718	55	1957	80	2820	1661052:1661126:-:CRIN
AT5G05570	AT	14-15	ALTA	7	64	9	85	8	112	1662048:1662052:-:ALTA
AT5G05570	AT	15-16	IR	1	72	1	93	1	128	na:na:+:IR
AT5G05570	AT	18-19	IR	4	112	5	104	4	132	na:na:+:IR
AT5G05570	AT	19-20	IR	3	112	1	135	1	164	na:na:+:IR
AT5G05570	AT	20-21	IR	6	46	8	90	16	93	na:na:+:IR
AT5G05570	AT	22-23	IR	8	66	3	75	5	101	na:na:+:IR
AT5G05570	AT	6-7	IR	4	89	3	77	9	132	na:na:+:IR
AT5G05570	AT	9-10	ALTA	4	84	3	66	4	113	1660479:1660482:-:ALTA
AT5G02290	AT	1-2	IR	2	137	4	221	10	236	na:na:+:IR
AT5G02290	AT	2-3	IR	3	129	2	212	3	223	na:na:+:IR
AT5G02290	AT	3-4	IR	1	195	2	229	2	212	na:na:+:IR
AT5G02290	AT	5-6	IR	2	214	25	341	33	379	na:na:+:IR
AT3G10210	AT	1-2	IR	16	167	13	207	19	278	na:na:+:IR
AT3G10210	AT	2-3	IR	55	195	38	197	58	334	na:na:+:IR
AT1G75280	AT	1-2	ALTA	1	1454	4	1411	5	2612	28252283:28252299:+:ALTA
AT1G75280	AT	1-2	IR	12	1443	4	1411	18	2599	na:na:+:IR
AT1G75280	AT	2-3	IR	15	1437	6	1164	33	2201	na:na:+:IR
AT1G75280	AT	3-4	IR	17	1066	16	936	30	1795	na:na:+:IR
AT1G75280	AT	4-5	IR	29	1376	36	1146	53	2053	na:na:+:IR
AT1G03010	AT	1-2	IR	3	1	1	4	5	0	na:na:+:IR
AT1G03010	AT	3-4	IR	2	0	1	2	3	0	na:na:+:IR
AT1G30610	AT	1-2	ALTA	8	185	6	119	16	296	10848200:10848213:-:ALTA
AT1G30610	AT	1-2	IR	49	144	33	92	67	245	na:na:+:IR
AT1G30610	AT	2-3	IR	12	171	10	110	9	238	na:na:+:IR
AT1G30610	AT	4-5	ALTA	4	151	5	131	16	312	10848964:10849001:+:ALTA
AT1G30610	AT	4-5	IR	1	154	3	133	9	319	na:na:+:IR
AT1G30610	AT	5-6	IR	3	96	4	59	11	186	na:na:+:IR
AT1G30610	AT	7	CRIN	182	3064	110	2371	331	5467	10849539:10849622:-:CRIN
AT3G01510	AT	1-2	ALTD	4	203	1	186	7	304	201367:201367:+:ALTD
AT3G01510	AT	2-3	ALTA	4	197	5	218	6	320	200898:201011:-:ALTA
AT3G01510	AT	2-3	ALTA	6	195	16	207	20	306	201012:201027:+:ALTA
AT3G01510	AT	2-3	IR	9	192	2	221	6	320	na:na:+:IR
AT3G01510	AT	3-4	ALTD	3	263	1	218	1	386	200552:200556:-:ALTD
AT3G01510	AT	5-6	ALTA	4	221	6	202	2	395	200067:200074:-:ALTA
AT3G01510	AT	7-8	IR	1	211	2	197	6	348	na:na:+:IR
AT3G01510	AT	8-9	IR	11	274	2	247	15	415	na:na:+:IR
AT3G01510	AT	9-10	IR	3	258	3	268	1	440	na:na:+:IR
AT4G33890	AT	1-2	IR	31	120	19	98	23	216	na:na:+:IR
AT1G74880	AT	1-2	ALTP	2	1654	1	1766	1	2798	28130702:28130703:-:ALTA;28130796:28130797:+:ALTD
AT1G74880	AT	1-2	ALTP	1	1655	2	1765	1	2798	28130703:28130703:-:ALTA;28130797:28130797:+:ALTD
AT1G74880	AT	1-2	IR	119	1537	94	1673	190	2609	na:na:+:IR
AT1G74880	AT	2-3	IR	5	1493	4	1529	19	2427	na:na:+:IR
AT1G74880	AT	3-4	ALTA	1	2024	3	2036	10	3068	28130389:28130416:-:ALTA
AT1G74880	AT	3-4	IR	19	2006	3	2036	15	3063	na:na:+:IR
AT1G74880	AT	4-5	ALTA	11	1258	9	1247	7	1813	28130298:28130304:+:ALTA
AT1G74880	AT	4-5	ALTD	1	1268	2	1254	3	1817	28130375:28130384:-:ALTD
AT1G74880	AT	4-5	IR	48	1221	39	1217	104	1716	na:na:+:IR
AT1G74880	AT	5-6	IR	23	943	16	962	42	1640	na:na:+:IR
AT3G14770	AT	1-2	IR	27	359	20	212	64	477	na:na:+:IR
AT3G14770	AT	3-4	IR	6	292	1	246	15	502	na:na:+:IR
AT3G14770	AT	4-5	IR	2	429	2	335	3	798	na:na:+:IR
AT3G14770	AT	5-6	IR	20	410	4	310	22	635	na:na:+:IR
AT4G12460	AT	1-2	ALTP	3	116	2	103	3	160	7391727:7392397:+:ALTD;7392688:7392690:+:ALTA
AT4G12460	AT	1-2	ALTD	19	100	7	98	9	154	7391727:7392480:+:ALTD
AT4G12460	AT	1-2	ALTP	7	112	1	104	7	156	7391727:7392480:+:ALTD;7392688:7392690:+:ALTA
AT4G12460	AT	1-2	ALTA	14	105	16	89	25	138	7392688:7392690:+:ALTA
AT4G12460	AT	1-2	IR	36	83	24	81	59	104	na:na:+:IR
AT4G12460	AT	10	CRIN	2	1661	14	1799	18	2570	7396063:7396157:-:CRIN
AT4G12460	AT	2-3	IR	1	81	1	103	3	88	na:na:+:IR
AT4G12460	AT	3-4	ALTP	6	79	1	80	2	94	7393586:7393605:+:ALTD;7393842:7393848:-:ALTA
AT4G12460	AT	3-4	ALTA	8	77	18	63	15	81	7393842:7393848:-:ALTA
AT4G12460	AT	3-4	IR	6	79	4	77	2	94	na:na:+:IR
AT4G12460	AT	4-5	ALTA	4	96	8	90	12	104	7394386:7394401:+:ALTA
AT4G12460	AT	4-5	IR	5	95	4	94	3	113	na:na:+:IR
AT4G12460	AT	5-6	ALTA	3	121	3	152	5	185	7394856:7394874:-:ALTA
AT4G12460	AT	5-6	ALTA	12	112	2	153	2	188	7394856:7394895:-:ALTA
AT4G12460	AT	5-6	IR	21	103	26	129	23	167	na:na:+:IR
AT4G12460	AT	8-9	ALTA	9	122	10	150	3	236	7395675:7395680:-:ALTA
AT4G12460	AT	8-9	ALTA	1	130	8	152	12	227	7395675:7395693:-:ALTA
AT4G12460	AT	8-9	IR	36	95	35	125	64	175	na:na:+:IR
AT4G12460	AT	9-10	IR	5	152	5	161	9	313	na:na:+:IR
AT3G13740	AT	1-2	IR	15	425	35	321	27	747	na:na:+:IR
AT3G13740	AT	2-3	IR	21	595	27	449	35	888	na:na:+:IR
AT3G13740	AT	3-4	IR	35	577	76	474	74	1003	na:na:+:IR
AT3G13740	AT	3-5	SKAD	2	3417	1	2997	3	5916	4505080:4505085:+:ALTD;4505439:4505440:+:ALTA
AT3G13740	AT	4-5	IR	23	608	46	523	58	1044	na:na:+:IR
AT3G13740	AT	5-6	ALTD	4	837	9	756	6	1388	4505503:4505543:-:ALTD
AT3G13740	AT	5-6	IR	47	794	94	671	88	1306	na:na:+:IR
AT3G13740	AT	6-7	IR	116	582	141	487	129	1082	na:na:+:IR
AT3G13740	AT	1-3	SKIP	4	3415	9	2989	1	5918	1-3
AT1G75420	AT	1	CRIN	30	947	28	1034	55	1678	28305372:28305541:-:CRIN
AT1G75420	AT	1-2	IR	17	83	28	137	41	142	na:na:+:IR
AT1G75420	AT	2-3	IR	17	76	22	87	39	90	na:na:+:IR
AT1G75420	AT	3	CRIN	9	968	8	1054	14	1719	28306150:28306246:-:CRIN
AT1G75420	AT	3-4	IR	2	124	3	94	1	157	na:na:+:IR
AT1G75420	AT	4-5	IR	12	60	6	75	11	92	na:na:+:IR
AT1G70410	AT	1-2	ALTD	3	2705	4	2871	5	5184	26537967:26538116:+:ALTD
AT1G70410	AT	1-2	IR	11	2697	4	2871	9	5180	na:na:+:IR
AT1G70410	AT	2-3	ALTD	730	2368	671	2358	1265	4230	26536604:26537403:+:ALTD
AT1G70410	AT	2-3	IR	237	2861	138	2891	293	5202	na:na:+:IR
AT1G70410	AT	3-4	IR	4	2788	10	2806	13	5099	na:na:+:IR
AT1G70410	AT	4-5	IR	27	2891	24	2550	48	4248	na:na:+:IR
AT1G70410	AT	5-6	ALTP	1	2055	1	1740	2	2897	26535402:26535403:+:ALTA;26535647:26535647:-:ALTD
AT1G70410	AT	5-6	IR	24	2032	21	1720	65	2834	na:na:+:IR
AT1G70410	AT	6-7	IR	19	2726	12	2445	50	4330	na:na:+:IR
AT1G70410	AT	7-8	ALTA	2	3282	2	3110	1	5870	26534755:26534771:+:ALTA
AT1G70410	AT	7-8	IR	81	3203	65	3047	171	5700	na:na:+:IR
AT1G70410	AT	8-9	ALTA	1	3711	1	3821	5	7379	26534489:26534517:-:ALTA
AT1G70410	AT	8-9	IR	15	3697	20	3802	72	7312	na:na:+:IR
AT1G70410	AT	9-10	IR	24	3448	22	3295	70	5998	na:na:+:IR
AT1G70410	AT	4-6	SKIP	10	19762	1	19002	4	34810	4-6
AT5G53140	AT	1-2	IR	8	601	8	444	17	925	na:na:+:IR
AT5G53140	AT	2-3	ALTD	6	1119	1	819	1	1823	21549209:21549511:-:ALTD
AT5G53140	AT	2-3	ALTA	4	1121	2	818	2	1822	21549862:21549862:+:ALTA
AT5G53140	AT	2-3	IR	2	1123	3	817	4	1820	na:na:+:IR
AT5G53140	AT	4-5	IR	12	662	2	542	9	1097	na:na:+:IR
AT5G53140	AT	6-7	IR	25	993	22	567	64	1325	na:na:+:IR
AT5G53140	AT	7-8	IR	22	883	14	552	57	1293	na:na:+:IR
AT4G13730	AT	3-4	ALTA	10	121	10	130	25	162	7971862:7971865:+:ALTA
AT4G13730	AT	3-4	IR	1	130	1	139	3	184	na:na:+:IR
AT4G13730	AT	6-7	ALTP	1	136	2	175	1	256	7972904:7972907:+:ALTD;7973044:7973047:-:ALTA
AT4G13730	AT	6-7	ALTA	6	131	10	167	9	248	7973036:7973043:+:ALTA
AT4G13730	AT	6-7	IR	12	125	8	169	21	236	na:na:+:IR
AT4G20130	AT	1-2	IR	13	760	3	604	18	1373	na:na:+:IR
AT4G20130	AT	10-11	IR	15	658	10	607	18	1257	na:na:+:IR
AT4G20130	AT	2-3	IR	19	610	5	586	11	1322	na:na:+:IR
AT4G20130	AT	3-4	IR	53	457	29	372	89	724	na:na:+:IR
AT4G20130	AT	5-6	ALTA	2	498	3	390	7	750	10880315:10880318:-:ALTA
AT4G20130	AT	6-7	IR	3	561	2	480	4	820	na:na:+:IR
AT4G20130	AT	8-9	ALTA	16	628	17	571	19	1106	10880935:10880956:-:ALTA
AT4G20130	AT	8-9	IR	10	634	9	579	14	1111	na:na:+:IR
AT4G20130	AT	9-10	IR	1	998	4	735	12	1563	na:na:+:IR
AT5G61810	AT	2-3	IR	3	124	5	145	7	177	na:na:+:IR
AT4G28440	AT	1-2	IR	40	546	30	451	114	948	na:na:+:IR
AT4G30270	AT	1-2	IR	16	463	16	410	3	369	na:na:+:IR
AT4G30270	AT	2-3	IR	17	330	36	340	15	254	na:na:+:IR
AT2G33620	AT	1-2	ALTD	13	98	18	91	53	198	14234375:14234462:-:ALTD
AT2G33620	AT	1-2	IR	86	25	80	29	165	86	na:na:+:IR
AT2G33620	AT	2-3	IR	4	125	4	92	7	208	na:na:+:IR
AT2G33620	AT	3-4	IR	1	127	1	114	4	230	na:na:+:IR
AT2G33620	AT	4-5	IR	7	105	1	82	4	224	na:na:+:IR
AT2G38630	AT	6-7	ALTA	3	69	3	60	1	96	16154790:16154887:-:ALTA
AT2G38630	AT	6-7	IR	9	63	13	50	12	85	na:na:+:IR
AT2G38630	AT	7-8	IR	20	67	5	56	24	102	na:na:+:IR
AT2G29590	AT	1-2	ALTA	14	191	21	134	32	279	12654984:12654988:-:ALTA
AT2G29590	AT	2-3	IR	13	150	5	204	5	301	na:na:+:IR
AT5G11340	AT	1-2	IR	9	300	5	241	17	595	na:na:+:IR
AT5G11340	AT	2-3	IR	1	250	6	216	7	507	na:na:+:IR
AT2G31710	AT	1-2	IR	1	134	2	133	4	223	na:na:+:IR
AT2G31710	AT	2-3	IR	9	105	14	102	31	188	na:na:+:IR
AT5G15840	AT	1-2	IR	15	1	5	1	1	0	na:na:+:IR
AT1G36310	AT	1-2	IR	22	353	33	264	50	568	na:na:+:IR
AT1G36310	AT	2-3	IR	2	159	1	113	1	221	na:na:+:IR
AT3G02090	AT	1-2	ALTD	3	1878	4	1409	8	2941	366296:366705:+:ALTD
AT3G02090	AT	1-2	CREX	4	1877	5	1408	7	2942	366667:366705:+:CREX
AT3G02090	AT	1-2	ALTA	8	1873	3	1410	3	2946	366667:366787:+:ALTA
AT3G02090	AT	1-2	IR	15	1866	3	1410	16	2933	na:na:+:IR
AT3G02090	AT	8-9	ALTD	1973	0	1320	6	2841	6	368328:368331:-:ALTD
AT1G04200	AT	13-14	IR	2	104	3	78	2	121	na:na:+:IR
AT1G04200	AT	14-15	IR	29	67	15	80	25	108	na:na:+:IR
AT1G04200	AT	16-17	IR	3	120	1	119	3	225	na:na:+:IR
AT1G04200	AT	17-18	IR	27	88	7	96	29	176	na:na:+:IR
AT1G04200	AT	3-4	ALTA	3	37	1	42	3	53	1110457:1110481:-:ALTA
AT1G04200	AT	3-4	IR	7	33	2	41	1	55	na:na:+:IR
AT1G04200	AT	4-5	IR	10	72	11	53	12	86	na:na:+:IR
AT1G04200	AT	5-6	IR	21	71	14	54	24	77	na:na:+:IR
AT1G04200	AT	8-9	IR	1	111	1	71	2	121	na:na:+:IR
AT2G26810	AT	1-2	IR	40	46	27	49	54	105	na:na:+:IR
AT2G26810	AT	2-3	ALTD	3	66	5	30	9	76	11435964:11435986:+:ALTD
AT2G26810	AT	2-3	IR	29	40	13	22	18	67	na:na:+:IR
AT2G26810	AT	4-5	ALTA	9	95	4	52	8	120	11434828:11435045:+:ALTA
AT2G26810	AT	4-5	CREX	7	97	4	52	2	126	11434940:11435045:+:CREX
AT2G26810	AT	4-5	ALTD	5	99	3	53	4	124	11434940:11435173:+:ALTD
AT2G26810	AT	5-6	IR	3	91	6	62	5	103	na:na:+:IR
AT2G26810	AT	7-8	ALTP	4	90	1	72	3	173	11434254:11434254:-:ALTA;11434432:11434432:+:ALTD
AT2G26810	AT	7-8	IR	42	52	27	46	64	112	na:na:+:IR
AT2G44360	AT	1-2	ALTA	4	273	4	282	7	488	18321283:18321286:-:ALTA
AT2G44360	AT	1-2	IR	28	249	35	251	47	448	na:na:+:IR
AT2G44360	AT	2-3	IR	12	250	8	278	16	437	na:na:+:IR
AT5G11690	AT	1-2	IR	113	95	77	100	158	201	na:na:+:IR
AT2G18440	AT	1-2	IR	35	1208	22	1026	64	2223	na:na:+:IR
AT2G18440	AT	2	CRIN	37	8070	25	5995	37	12304	7995975:7996356:-:CRIN
AT2G18440	AT	2	CRIN	3	8104	2	6018	1	12340	7996008:7996356:-:CRIN
AT5G61100	AT	3-4	IR	3	0	2	0	4	0	na:na:+:IR
AT4G36945	AT	3-4	IR	9	69	3	60	9	92	na:na:+:IR
AT4G36945	AT	4-5	IR	12	84	7	91	7	150	na:na:+:IR
AT4G36945	AT	5-6	IR	41	82	19	72	41	132	na:na:+:IR
AT4G36945	AT	6-7	IR	44	53	39	60	70	96	na:na:+:IR
AT4G36945	AT	7-8	ALTP	17	95	14	98	48	176	17420268:17420277:-:ALTA;17420353:17420362:-:ALTD
AT4G36945	AT	7-8	ALTP	1	111	1	111	1	223	17420268:17420277:-:ALTA;17420353:17420411:-:ALTD
AT4G36945	AT	7-8	IR	19	93	27	85	31	193	na:na:+:IR
AT3G19460	AT	1	CRIN	122	754	131	758	235	1385	6747664:6747928:-:CRIN
AT3G19460	AT	1-2	IR	1	115	2	126	3	228	na:na:+:IR
AT3G19460	AT	2	CRIN	113	763	88	801	191	1429	6748499:6748600:-:CRIN
AT3G19460	AT	2-3	IR	7	172	4	161	18	251	na:na:+:IR
AT3G19460	AT	3-4	ALTD	6	176	5	193	5	371	6748901:6748904:-:ALTD
AT3G19460	AT	3-4	ALTD	75	107	77	121	147	229	6748905:6748909:+:ALTD
AT3G19460	AT	3-4	IR	10	172	16	182	23	353	na:na:+:IR
AT4G36940	AT	1-2	IR	16	213	11	186	25	293	na:na:+:IR
AT4G36940	AT	12-13	IR	8	206	8	213	20	365	na:na:+:IR
AT4G36940	AT	13-14	ALTA	5	271	1	249	2	447	17419586:17419591:-:ALTA
AT4G36940	AT	13-14	IR	11	265	6	244	18	431	na:na:+:IR
AT4G36940	AT	14-15	ALTA	2	225	2	175	4	314	17419806:17419810:-:ALTA
AT4G36940	AT	14-15	IR	7	220	2	175	7	311	na:na:+:IR
AT4G36940	AT	3-4	IR	2	171	15	171	12	256	na:na:+:IR
AT4G36940	AT	6-7	ALTA	1	193	2	193	1	333	17418173:17418174:-:ALTA
AT4G36940	AT	7-8	IR	8	165	1	126	8	239	na:na:+:IR
AT4G36940	AT	8-9	ALTA	3	206	3	179	14	340	17418565:17418584:+:ALTA
AT4G36940	AT	8-9	IR	2	207	3	179	11	343	na:na:+:IR
AT3G07110	AT	1-2	IR	46	2288	22	1180	88	3898	na:na:+:IR
AT3G07110	AT	2-3	IR	8	1847	3	851	16	2935	na:na:+:IR
AT3G07110	AT	3-4	ALTA	1731	19	915	15	3074	44	2253186:2253188:-:ALTA
AT3G07110	AT	3-4	IR	19	1731	15	915	44	3074	na:na:+:IR
AT1G72810	AT	1-2	IR	21	102	14	54	34	101	na:na:+:IR
AT2G41460	AT	1-2	ALTA	15	78	14	89	9	150	17286119:17286139:-:ALTA
AT2G41460	AT	1-2	IR	1	92	6	97	6	153	na:na:+:IR
AT2G41460	AT	8-9	IR	3	71	4	43	5	62	na:na:+:IR
AT1G63810	AT	1-2	ALTA	1	115	1	50	3	170	23675457:23675568:-:ALTA
AT1G63810	AT	1-2	IR	31	85	9	42	30	143	na:na:+:IR
AT1G63810	AT	12-13	ALTA	5	111	1	62	5	159	23672662:23672669:-:ALTA
AT1G63810	AT	16-17	IR	2	71	2	24	7	112	na:na:+:IR
AT1G63810	AT	21-22	IR	2	102	5	43	1	142	na:na:+:IR
AT1G63810	AT	9-10	ALTA	1	105	1	45	1	120	23673483:23673487:+:ALTA
AT1G63810	AT	9-10	IR	2	104	6	40	12	109	na:na:+:IR
AT2G40590	AT	1-2	IR	8	1801	5	1119	13	3837	na:na:+:IR
AT2G40590	AT	2-3	IR	3	1456	2	976	3	3439	na:na:+:IR
AT2G40590	AT	3-4	IR	3	893	4	382	5	1429	na:na:+:IR
AT2G40590	AT	4-5	IR	24	965	6	419	22	1406	na:na:+:IR
AT1G68790	AT	6-7	ALTA	6	290	2	291	2	583	25835448:25835452:-:ALTA
AT2G39270	AT	1-2	IR	9	85	13	124	15	199	na:na:+:IR
AT4G09750	AT	3-4	IR	5	75	3	74	1	132	na:na:+:IR
AT4G09750	AT	5-6	IR	3	84	1	83	6	135	na:na:+:IR
AT4G36360	AT	11-12	IR	1	428	2	385	4	868	na:na:+:IR
AT4G36360	AT	17-18	ALTA	1	577	1	494	3	1075	17176978:17176980:-:ALTA
AT4G36360	AT	17-18	IR	5	573	2	493	4	1074	na:na:+:IR
AT4G36360	AT	2-3	IR	3	289	1	367	2	701	na:na:+:IR
AT4G36360	AT	3-4	ALTA	1	318	2	302	1	629	17180378:17180386:+:ALTA
AT1G76240	AT	1	CRIN	10	3107	5	1008	17	5355	28603214:28603280:-:CRIN
AT5G10560	AT	1-2	ALTA	16	308	19	389	25	621	3338358:3338360:+:ALTA
AT5G10560	AT	1-2	IR	3	321	2	406	14	632	na:na:+:IR
AT5G10560	AT	3-4	IR	10	240	7	275	7	439	na:na:+:IR
AT5G10560	AT	4-5	IR	1	220	3	271	4	392	na:na:+:IR
AT5G10560	AT	5-6	ALTA	6	316	1	357	6	517	3336937:3336941:+:ALTA
AT5G10560	AT	5-6	IR	8	314	11	347	12	511	na:na:+:IR
AT3G08580	AT	1-2	IR	9	0	1	0	13	2	na:na:+:IR
AT3G08580	AT	2-3	IR	14	6015	12	3975	11	9528	na:na:+:IR
AT3G08580	AT	3-4	ALTA	8	7523	3	5239	7	13660	2605998:2606002:-:ALTA
AT3G08580	AT	3-4	IR	44	7487	27	5215	46	13621	na:na:+:IR
AT4G33700	AT	1	CRIN	3	865	1	933	2	1614	16179070:16179173:-:CRIN
AT4G33700	AT	1-2	IR	2	67	1	63	1	121	na:na:+:IR
AT4G33700	AT	6-7	IR	4	62	8	81	9	138	na:na:+:IR
AT4G33700	AT	8-9	ALTA	6	107	4	89	5	145	16177125:16177132:-:ALTA
AT4G33700	AT	8-9	IR	16	97	9	84	22	128	na:na:+:IR
AT4G33700	AT	9-10	IR	7	110	1	95	1	185	na:na:+:IR
AT2G35710	AT	1-2	IR	4	8	18	24	14	26	na:na:+:IR
AT5G17690	AT	1-2	IR	1	104	2	101	2	214	na:na:+:IR
AT5G17690	AT	2-3	ALTA	7	62	3	81	12	157	5828738:5828758:+:ALTA
AT5G17690	AT	2-3	IR	14	55	6	78	6	163	na:na:+:IR
AT5G17690	AT	3-4	IR	10	87	6	110	17	135	na:na:+:IR
AT5G17690	AT	4	CRIN	5	982	2	1087	5	1783	5828118:5828170:-:CRIN
AT5G17690	AT	5-6	IR	7	89	1	91	6	139	na:na:+:IR
AT5G39470	AT	1-2	IR	3	0	1	0	2	0	na:na:+:IR
AT5G39470	AT	2-3	ALTP	3	13	1	4	1	2	15792272:15792319:+:ALTA;15792407:15792411:-:ALTD
AT5G39470	AT	2-3	IR	13	3	4	1	2	1	na:na:+:IR
AT5G39470	AT	3-4	IR	3	0	1	0	3	0	na:na:+:IR
AT1G67310	AT	1-2	ALTD	59	112	113	135	108	148	25202827:25203023:+:ALTD
AT1G67310	AT	1-2	IR	112	59	135	113	148	108	na:na:+:IR
AT1G67310	AT	10-11	IR	2	100	9	130	12	198	na:na:+:IR
AT1G67310	AT	4-5	IR	4	67	4	112	3	112	na:na:+:IR
AT1G67310	AT	6-7	IR	11	101	22	143	22	162	na:na:+:IR
AT1G67310	AT	7-8	ALTA	1	69	2	121	5	105	25200826:25200828:+:ALTA
AT1G67310	AT	8-9	ALTD	2	86	6	115	6	159	25200741:25200750:-:ALTD
AT1G67310	AT	9-10	ALTA	1	124	2	131	2	142	25200225:25200261:-:ALTA
AT1G67310	AT	9-10	IR	40	85	27	106	41	103	na:na:+:IR
AT1G64660	AT	1-2	IR	5	51	1	69	1	100	na:na:+:IR
AT1G64660	AT	2-3	IR	6	48	8	73	12	135	na:na:+:IR
AT4G03180	AT	1-2	IR	63	176	40	138	77	338	na:na:+:IR
AT2G48100	AT	1-2	ALTD	11	355	5	238	14	495	19670691:19670828:+:ALTD
AT2G48100	AT	1-2	CREX	1	365	2	241	7	502	19670808:19670828:+:CREX
AT2G48100	AT	1-2	ALTA	1	365	1	242	4	505	19670808:19671175:+:ALTA
AT2G48100	AT	1-2	ALTA	5	361	8	235	12	497	19671176:19671182:-:ALTA
